rank	username	minecraft:dropped/minecraft:music_disc_mall
1	HellsSponge	214
2	AspenLightVT	9
3	Deodorante	7
4	IlkeCookes_	6
5	Mahoose	5
6	12Magner05	4
6	surfinggiraffejp	4
6	Di_infiri	4
9	PhantomsGhost_	3
9	ImpavidArcher	3
9	eitanzaki	3
9	Tyrannosplart	3
9	p4pillio	3
9	miramyu	3
15	abdomera	2
15	Studio4x32	2
15	Inchef	2
15	xxPipperDipperxx	2
15	The11thDoctor	2
15	Akoot_	2
15	TechnoNinja64	2
22	pintsizedrogue	1
22	CLG_Kata	1
22	TildaAndrea	1
22	Julmish	1
22	MOSS000	1
22	Gregward_Smith	1
22	LoboTheLobster	1
22	Secret_Canary	1
22	set67	1
22	thescout7	1
22	r123moore	1
22	noam464	1
22	oscminus	1
22	Oliver_Frost	1
22	ApophisNova	1
22	Werbe	1
22	RobotMinion101	1
22	Cruncy_	1
22	hoaimi	1
22	yulgur1	1
22	emreknugrlu	1
22	NameGenerat0r	1
22	claivin	1
22	FreakGenius	1
22	Groundler	1
22	Spacewardharpy7	1
22	shuniji_	1
22	Eraxa	1
22	Pumpkin_P_Patch	1
22	Soplight	1
22	xzvu	1
22	CalebDHawk	1
22	EcksD	1
22	MyNamaSheff	1
22	es0th	1
