rank	username	minecraft:dropped/minecraft:pink_glazed_terracotta
1	thewindmillman	224
2	lordpipe	58
3	Blaiku	57
4	jnp_gaming	33
5	eitanzaki	17
6	noam464	13
7	ImpavidArcher	5
8	Werbe	2
8	TheShyPig	2
8	FreakGenius	2
11	Spacewardharpy7	1
