rank	username	minecraft:dropped/minecraft:cyan_shulker_box
1	kekhon	29
2	Hyp3rion_	13
3	lordpipe	8
4	noam464	7
4	KingMatthew506	7
6	k1ngGilgamesh	6
6	Akoot_	6
6	wezzzi	6
9	EcksD	5
9	Legendosh	5
11	joethahobo	4
11	Di_infiri	4
11	WET_WET_WET	4
11	sadvavilloso	4
15	pintsizedrogue	3
15	Merv__	3
15	SaucyDark	3
15	eitanzaki	3
15	Mahoose	3
15	Blackberry1310	3
15	thescout7	3
15	thewindmillman	3
15	Zythose	3
15	Ezekson	3
25	Euclidoris	2
25	m_be9	2
25	Fullut	2
25	ROY4LE	2
25	HolyVenom	2
25	EveryonesUncle	2
25	Frozil12	2
25	EcksDofficial	2
33	AuroraValkyrie	1
33	KarlKaek	1
33	NinjaKnifeKill	1
33	Myszoaz	1
33	beeperbeeper5	1
33	TheSecondLord	1
33	_Nuf	1
33	_Dean_123	1
33	Queen_Jalapeno	1
33	burbankbuilder28	1
33	fred870d	1
33	OtariCharlie	1
33	TheShyPig	1
33	Leyna3	1
33	NomadicRobin_	1
33	lillips	1
33	DarlaMeow	1
33	HellsSponge	1
33	El_Jalapeno	1
33	MightyWertu	1
33	Groundler	1
33	Spacewardharpy7	1
33	YungMaki	1
33	PlzNoBM	1
33	MilleGrug	1
