rank	username	minecraft:dropped/minecraft:sign
1	Russiancat1	70
2	BlossomOwO	7
3	DAD_1996	4
4	ProbsNotNova	3
5	Meteora4	2
5	popcanter	2
5	curterr	2
5	sufjanlover	2
9	Andy__Dufresne	1
9	byFlixxx	1
9	grislgrobl	1
