rank	username	minecraft:dropped/minecraft:bread
1	pintsizedrogue	8839
2	eitanzaki	6360
3	Lord_Jord	2862
4	EMC_	2510
5	joethahobo	2195
6	Legendosh	2011
7	EcksD	1766
8	chipklip	1467
9	Blackberry1310	1300
10	Mahoose	1204
11	noam464	1165
12	HellsSponge	1115
13	Groovy_MoonBird	1022
14	Werbe	909
15	TechnoNinja64	808
16	thewindmillman	726
17	Akoot_	679
18	Freak_Genius	646
19	Vizzoid	598
20	oxfordschool	586
21	Dedalus36	582
22	gcaisawesome	576
23	Powowowow	556
24	diamondgolem35	555
25	Snowflowe	534
26	youhjjhhhjj	480
26	Jordan_R	480
28	rarrq	478
29	Di_infiri	477
30	_Virify_	448
31	anbbang	435
32	Louiis123	418
33	kekhon	413
34	PigDab	386
34	StinkyDiplomat	386
36	m_be9	370
37	Miko_Fullbuster	365
38	livingdaydreams	356
39	starbits140	353
40	pixelviolin	343
41	Cowison	319
41	Soplight	319
43	Kkanot	314
44	MyNameIsDakar	309
45	Drlzyy	308
46	Sleepy_Time_	295
47	Poppy235	288
47	FishisTTV	288
49	4774	281
50	jcool7	273
50	TheOuterCore	273
52	gaming4Naming	270
53	Comma__	269
54	Nycteus_	268
55	Kamflame10	267
56	LeeMcGee30	262
57	groofles	260
58	Luigipunch989	255
59	Smoke____	250
60	Chromary	236
61	soundad	235
61	GlitchyPlate810	235
63	Skippeh	231
64	Rumpletaezer	221
65	thescout7	217
66	H72l9w	216
66	Frozil12	216
68	Fast_Turtle	214
69	SHAOBADMAN	210
70	NoobSlayerPro	208
71	YungMaki	195
72	ApophisNova	192
72	MyNamaSheff	192
74	Ezekson	189
75	Jimi7hits	179
76	duelcard	172
77	ShedJr_	170
78	Bandito_Roamer	167
79	Blu3beast	165
80	Arceus1975	164
81	Quaintster	163
82	Racengan	161
83	BumbleBeever	149
84	Groundler	145
85	Segotep999	134
85	2blox	134
87	Xalithia	133
88	IAmTheWalrus910	131
89	Jovaphobic	128
89	ProfessorBee	128
89	xo_Marren_xo	128
89	pixelings_	128
93	Ryker	127
94	WavyGravy_	126
95	ddogdan13	125
96	kinas45y5	124
97	RatatJuice	120
98	itburb	117
98	diggydog67	117
100	Menthas	115
100	claivin	115
102	JayToe	113
103	Fullut	110
104	MonitorLizards	100
104	Sky_light_KING	100
106	Blaiku	99
106	EcksDofficial	99
108	Incinere	98
109	Njensen7	97
110	ROY4LE	95
110	XxCookiequeenxX	95
112	Omar_Alone	94
112	Kowcio_	94
114	Mattesco	88
114	stellarjay	88
116	bigstankyy	87
116	xxPipperDipperxx	87
116	Zoeyfortnite	87
119	KingFaenor	84
120	lcvezra	83
121	Lowjinx	80
122	RodSerlingCringe	78
123	ImDisconnected_	77
124	lordpipe	75
124	SammiWolfGirl	75
126	Solar_Power	74
127	mariominejedi	73
127	NATE_the_HALO	73
129	_Nuf	72
130	jacxhadow	70
131	Joestra	69
132	andy_rex	68
133	PortlyPete69	66
133	Enderslayerxz3	66
135	lillips	65
135	Meatlaugh	65
135	fluddd	65
138	sotty0430	64
138	aj3512	64
138	CryForHelpPT	64
138	Kynigito	64
142	Nicserso	63
143	6king6colt6	62
144	Holden_17	61
145	Hyp3rion_	59
146	PlasticOtari	58
147	Funkyie	57
148	DarlaMeow	56
148	ProbsNotNova	56
150	Spacewardharpy7	54
151	lwyl	52
151	RoytheBoye	52
153	EveryonesUncle	51
154	Bloo2406	50
155	Onennon	48
156	_Ruzeeq_	46
156	Razzgriz	46
158	ooga47	42
158	Warlord324	42
160	sp00ky_ghost977	40
161	jimintyy	39
162	Frxnkz	38
163	TableTim	34
164	TheShyPig	33
164	NotMeowMix	33
166	dudcreeper	32
166	Bumpy419	32
166	Xclax101	32
166	smogfrog	32
166	Sral7	32
171	TheSeismicDuck	31
171	Vellu21	31
173	Natty	30
173	fred870d	30
175	Historical_Sand	29
175	DeGodz4life	29
175	adiccting01	29
178	teslawolf38	28
178	Negriuke	28
180	squigglybones	27
180	Ze1ig	27
180	Scathra	27
180	imaginek1d	27
184	FirsTimeGamingTV	26
184	ToastedGamingYT	26
184	TheTrueClipse	26
187	BleachMyEyes	25
187	TheWildMateo	25
189	chlorinex	24
189	himak1	24
189	SuperPooch06	24
189	whoaluv	24
193	MattieHD	23
193	SellyZ	23
193	_Boipl_	23
193	FishyBoy3811	23
193	Russiancat1	23
198	XboxPanda	22
199	beeperbeeper5	21
199	bloodbiter	21
199	m9_meltdown_	21
202	seanitoo	20
202	NomadicRobin_	20
204	Huwulling	19
204	proxivitoid	19
206	Dyosy	18
206	jewbacaman	18
206	JESS_THE_RERE	18
206	ProfessorDiaper	18
210	MunkaKris	17
210	WET_WET_WET	17
210	Zany0	17
210	monky_irl	17
214	RyuNeko932000	16
214	Jiminie	16
214	TheALV	16
217	SugarMyNuggets	15
217	Iagoku	15
217	dopplexd	15
217	emrekn	15
217	mimbo1211	15
217	StylesK	15
217	DeeDeeThonk	15
217	Vorlice	15
217	h2p_emrld	15
226	ColeSnyder	14
226	openatheclose	14
226	TylerDupree	14
229	Unitas_isa	13
229	MrExplorer	13
229	Jackattack53	13
229	lizardfightclub	13
229	ayamefag	13
229	obzii	13
235	Rasmanden	12
235	Airem_Core	12
235	WyngGoy	12
235	AssFullaCum	12
235	fffMike	12
240	T045RTY	11
240	yaboo88	11
240	Donutt	11
240	censorsheep	11
240	LordAurum	11
240	AltnumberF4	11
246	fanofbands101	10
246	ivorico	10
246	Guillemet	10
