rank	username	minecraft:dropped/minecraft:red_tulip
1	noam464	19654
2	eitanzaki	2256
3	HellsSponge	219
4	lordpipe	124
5	StinkyDiplomat	106
6	Awyrlas	96
7	Blackberry1310	92
8	UCP_TheKingK	64
9	sadvavilloso	61
10	Uzbeki_John	60
11	El_Jalapeno	47
11	TechnoNinja64	47
13	kekhon	45
14	bladeefan2009	42
15	beeperbeeper5	35
16	luseis	34
17	FreakGenius	32
18	Smoke____	27
19	Onennon	24
20	Lez_	19
21	Racengan	18
21	Zoeyfortnite	18
23	ClemenPine	17
23	Bawbman	17
25	PeteO1995	15
25	Werbe	15
25	Xclax101	15
28	StormPool	14
28	YungMaki	14
30	Zippyzam	13
30	HesDemonPants	13
32	epiksk8erduck	11
32	Kowcio_	11
34	XboxPanda	10
34	Jeteight	10
34	jnp_gaming	10
34	BiggieDawg	10
34	Teebone15	10
39	TheDiamondCG	9
39	Winklepicker279	9
39	Skylord_Luke	9
42	SaintJosie	8
43	Merv__	6
43	vampgey	6
43	PortlyPete69	6
46	Mahoose	5
46	Di_infiri	5
46	DAD_1996	5
46	Blu3beast	5
50	rats_life	4
50	ABUSNA1996	4
50	kensli	4
50	kars0n	4
50	Bumpy419	4
55	ImpavidArcher	3
55	301851	3
55	boog4loo	3
55	Rebytre	3
55	TheShyPig	3
55	Spacewardharpy7	3
55	Dusk_95	3
55	LordSpeed37	3
55	SpacesickPrism	3
55	Sheldor097	3
55	ConnorDanky_	3
55	561cool	3
67	q_wq	2
67	Frozil20	2
67	I_Am_Mushkin	2
67	Digcove	2
67	bloodbiter	2
67	500am	2
67	thescout7	2
67	SuperPooch06	2
67	burbankbuilder28	2
67	seramalen	2
67	ptweezy	2
67	Mr_Sun15	2
67	PigDab	2
67	Akoot_	2
67	parodypatient	2
67	MangoSalad316	2
67	fluddd	2
67	Soplight	2
67	Hermanni__	2
86	Groovy_MoonBird	1
86	Bandito_Roamer	1
86	Sleek_Storm_721	1
86	Iagoku	1
86	SaucyDark	1
86	Myszoaz	1
86	Sparky_KT	1
86	picardred	1
86	TheSecondLord	1
86	Pelbo	1
86	AngalexikCZ	1
86	fade_emerge78823	1
86	Eraza	1
86	emrekn	1
86	Xalithia	1
86	gcaisawesome	1
86	Osibus	1
86	TheDankPlatypus	1
86	0nly_sn1per	1
86	hanaryheatwave	1
86	pappaberg	1
86	iccd	1
86	SvenskaSara	1
86	Donutt	1
86	Mpkkiller	1
86	DebbieBrunswick	1
86	ApophisNova	1
86	Shiirazu	1
86	BRRRN179	1
86	IamCL4SSY	1
86	Blenderyoda	1
86	wobn	1
86	Shogunite	1
86	cringenaynaybaby	1
86	Typadopoulos	1
86	Paigefly	1
86	SquashyHydra	1
86	VintagePlays	1
86	lcvezra	1
86	PlzNoBM	1
86	Moetis	1
86	jcool7	1
86	MyNamaSheff	1
86	PlasticOtari	1
