rank	username	minecraft:dropped/minecraft:deepslate_iron_ore
1	thewindmillman	4200
2	Hyp3rion_	49
3	RealGroot	28
4	KujikawaRisechi	20
5	LeDuctTape	19
6	beeperbeeper5	16
7	pixelviolin	15
8	Smashic	14
9	fw3xywashere	13
9	binman420	13
9	lordpipe	13
12	noam464	12
12	Mattesco	12
14	Snowflowe	10
15	500am	9
15	YungMaki	9
17	Fuad_R	8
18	mihimihimihi	7
19	MilleGrug	6
20	SmashingPump	5
20	Hermanni__	5
22	Solar_Power	4
22	Iamthejo	4
24	Da_Boss_Rani	3
24	TheSecondLord	3
24	Jackattack53	3
24	Jonafrog99	3
24	AlexxO_o	3
29	Mahoose	2
29	Lez_	2
29	rarrq	2
29	catandmoose	2
29	Skylord_Luke	2
29	wwwwinnebagoooo	2
29	TheEnderMan548	2
29	EcksD	2
29	Enderxz3	2
38	hm947	1
38	Alteriity	1
38	CoffeeNoir	1
38	MrKrabOnCoke	1
38	Rebytre	1
38	EveryonesUncle	1
38	fluddd	1
38	IdeallyGrey	1
38	Kowcio_	1
38	Eczbek	1
