rank	username	minecraft:dropped/minecraft:sniffer_egg
1	Werbe	32
2	Jimb0nat0r	28
3	TheSecondLord	9
4	Lez_	6
5	Fullut	4
6	ZaneABrain	2
6	Kakolbus	2
6	crashomon	2
6	Pumpkin_P_Patch	2
10	Alteriity	1
10	oscminus	1
