rank	username	minecraft:dropped/minecraft:lightning_rod
1	thewindmillman	51
2	Jeteight	9
3	Solar_Power	8
4	Mahoose	6
5	noam464	4
6	Skylord_Luke	3
7	AuroraSkies	2
8	EMC_	1
8	ImpavidArcher	1
8	Kubelz	1
8	Hyp3rion_	1
8	regulator75	1
8	Jiminie	1
8	NameGenerat0r	1
8	2blox	1
