rank	username	minecraft:dropped/minecraft:torchflower_seeds
1	Jimb0nat0r	2136
2	Werbe	39
3	Merv__	32
4	TheSecondLord	17
5	j5ylim	16
6	Smashic	9
6	Kakolbus	9
8	Napoleonpancake	7
8	skitzxo	7
10	Mattesco	6
10	StarCookiees_	6
12	Lez_	5
13	PazinGaming	2
13	myaccountwasgone	2
13	eitanzaki	2
13	MAns_44	2
13	Kowcio_	2
18	k_ce	1
18	noam464	1
18	bl1ss0	1
18	crashomon	1
18	ee_echo_oo	1
18	Jackattack53	1
18	Krowuss	1
18	oscminus	1
18	emreknugrlu	1
18	Manaateee	1
18	Myntsys	1
18	MrShojo	1
18	robonya_	1
18	Steelynan	1
