rank	username	minecraft:dropped/minecraft:feather
1	Arceus1975	9779
2	El_Jalapeno	2926
3	CarltheCuck	2718
4	Jackattack53	2709
5	Smashic	1410
6	Lez_	1223
7	Covalents	1073
8	HellsSponge	910
9	joethahobo	814
10	FreakGenius	810
11	k_ce	734
12	Blaiku	668
13	annebolyn	667
14	starbits140	642
15	Blu3beast	613
16	noam464	610
17	beeperbeeper5	589
18	Fullut	571
19	emreknugrlu	504
20	Hyp3rion_	484
21	ConnorDanky_	472
22	luseis	428
23	Akoot_	406
24	Kowcio_	392
25	_3Stump_	390
26	eitanzaki	389
27	500am	386
28	Archsam	344
29	thescout7	336
30	Njensen7	329
31	kekhon	313
32	YungMaki	299
33	Spacewardharpy7	281
33	lordpipe	281
35	Groundler	275
36	Frozil20	260
36	iElijahi	260
38	Joestra	256
39	Awyrlas	249
40	Segotep999	242
41	738b4f65-6cbd-4ead-ba31-c14211abfb06	239
42	Blackberry1310	233
43	_Nuf	204
44	thewindmillman	202
45	AspenLightVT	195
46	smogfrog	192
47	Yamdalorian	191
48	StinkyDiplomat	188
48	ediballbearings	188
50	pintsizedrogue	185
51	oscminus	179
52	Snowflowe	178
53	The11thDoctor	164
54	ImpavidArcher	163
55	TrNrGhost	159
56	jnp_gaming	158
57	TheShyPig	153
58	Groovy_MoonBird	152
59	Werbe	151
60	Soplight	148
61	EcksD	147
62	Killercatty78	141
62	Di_infiri	141
64	Fuad_R	140
65	DanTheBuilderino	136
66	Kalwag	110
66	Secret_Canary	110
68	NatalieTW	109
69	Wooptey	105
70	Mahoose	104
71	12Magner05	101
72	Incinere	99
73	ShedJr_	95
74	SteveCraftBlocks	94
75	EMC_	90
76	Onennon	85
77	RebelAndroid	84
77	_Dean_123	84
79	fade_emerge78823	82
79	RebytreGT	82
79	Sheldor097	82
82	TheSecondLord	80
83	MightyWertu	78
84	PlasticOtari	75
85	shadowthemonkey	74
85	Enderxz3	74
87	mwrty	72
87	Quincannon	72
89	SvenskaHugo	71
90	masskedman	70
91	_i_ERROR_i_	69
92	Bumpy419	68
92	PuFY	68
92	Wanjibon	68
95	Legendosh	67
96	PazinGaming	65
97	Benzito07	64
97	SammiWolfGirl	64
99	sammidk	60
100	Nicserso	59
101	burbankbuilder28	57
102	Tyrannosplart	55
103	prizm_	53
104	PigDab	52
105	PhantomsGhost_	50
105	Skylord_Luke	50
105	Lord_Jord	50
105	__tomato	50
109	Da_Boss_Rani	47
109	Pumpkin_P_Patch	47
111	fluddd	46
112	emrekn	44
112	yulgur1	44
114	MuffinManzz	43
114	EveryonesUncle	43
116	Hiryu27	42
116	Skippeh	42
116	TechnoNinja64	42
119	hm947	41
119	legal_tax_evader	41
119	IAmTheWalrus910	41
119	KingMatthew506	41
123	T045RTY	40
123	i2f8x4h8ro	40
123	ElKaySVK	40
126	jcool7	39
127	Mewar	38
128	Huwulling	35
128	MoistMicrowave	35
