rank	username	minecraft:dropped/minecraft:tipped_arrow
1	eitanzaki	449
2	Blaiku	334
3	noam464	319
4	Akoot_	259
5	kekhon	178
6	Hyp3rion_	170
7	F_Uhre	162
8	ConnorDanky_	156
9	EcksD	123
10	joethahobo	122
11	jnp_gaming	117
12	YungMaki	108
13	beeperbeeper5	95
14	Blu3beast	75
15	rarrq	66
15	Inbefour	66
17	Ezekson	65
18	fade_emerge78823	64
19	T045RTY	62
20	WET_WET_WET	48
21	stavgod	43
22	Maenara	39
23	Eraxa	35
24	Enderxz3	29
25	Snowflowe	27
26	diamondgolem35	22
27	m_be9	20
28	IamCL4SSY	18
29	geekbird	15
30	set67	14
30	gcaisawesome	14
30	Tyrannosplart	14
33	Frozil20	13
33	Di_infiri	13
33	claivin	13
36	Xalithia	12
36	gabriels543	12
36	Jackattack53	12
36	Smoke____	12
40	lillips	11
41	Historical_Sand	10
41	sammidk	10
43	Incinere	8
43	PigDab	8
45	Skippeh	7
46	SmashingPump	6
46	Blackberry1310	6
46	TheSecondLord	6
46	Bumpy419	6
46	luseis	6
46	Soplight	6
52	I_Am_Mushkin	5
52	12Magner05	5
52	Covalents	5
52	Winklepicker279	5
52	J4ko8_	5
52	FishyBoy3811	5
52	Hail_the_wombat	5
52	SvenskaHugo	5
52	OhmShaLam	5
52	alderban107	5
52	TheOuterCore	5
52	HesDemonPants	5
64	MuffinManzz	4
64	teslawolf38	4
64	Valoth	4
64	SteveCraftBlocks	4
64	Fullut	4
64	Deodorante	4
64	Deathkob	4
64	fluddd	4
64	FelixPSY375	4
64	PlasticOtari	4
74	RebelAndroid	3
74	ZaneABrain	3
74	Prismyst	3
74	purpolepickle	3
74	HyperCave	3
74	Jonte0599	3
74	ougstur	3
74	ZA07	3
74	LexMakesHistory	3
74	Lutres_Torane	3
74	1442	3
74	ChronoSounds	3
74	Spacewardharpy7	3
74	lordpipe	3
74	RealGroot	3
89	Cowison	2
89	ItsColin11	2
89	jimintyy	2
89	Comma__	2
89	Guillemet	2
89	500am	2
89	Kamflame10	2
89	Eraza	2
89	Septemb3r	2
89	ROY4LE	2
89	TheDankPlatypus	2
89	Kakolbus	2
89	Rumpletaezer	2
89	burbankbuilder28	2
89	Solar_Power	2
89	Werbe	2
89	RobotMinion101	2
89	seramalen	2
89	Smussa	2
89	Mattesco	2
89	pi_E_	2
89	JESS_THE_RERE	2
89	drumine	2
89	Legendosh	2
113	heysushii	1
113	PhantomsGhost_	1
113	Merv__	1
113	6king6colt6	1
113	gren_ben	1
113	ImpavidArcher	1
113	ewsophie	1
113	Mahoose	1
113	Lez_	1
113	ITDV	1
113	Swalt	1
113	MrExplorer	1
113	shyshyannne	1
113	_Dean_123	1
113	CyrusIsTired	1
113	Kkanot	1
113	mwrty	1
113	Inchef	1
113	Mewar	1
113	xxPipperDipperxx	1
113	SpicyMeatballs	1
113	M_Patata	1
113	mariominejedi	1
113	Marbz_	1
113	fr_ser	1
113	Chromary	1
113	Arceus1975	1
113	The_Fulgurator	1
113	Rebytre	1
113	Skylord_Luke	1
113	The11thDoctor	1
113	Onennon	1
113	FungalCat	1
113	TheShyPig	1
113	Rasmanden	1
113	SaintJosie	1
113	ogoa	1
113	EveryonesUncle	1
113	DarlaMeow	1
113	HellsSponge	1
113	MAns_44	1
113	FreakGenius	1
113	GoofySilly	1
113	SkateboardR6	1
113	MasterNueve	1
113	_DKC	1
113	WyngGoy	1
113	Mythic1130	1
113	Kowcio_	1
113	EtherealEspresso	1
113	ediballbearings	1
113	gusstationwerker	1
113	xzvu	1
113	SammiWolfGirl	1
113	CalebDHawk	1
113	jcool7	1
113	Njensen7	1
113	TheGameArchitect	1
113	Hermanni__	1
113	_KuruKuru	1
113	BreadBacon	1
113	SilentKarma	1
113	diggydog67	1
113	00000000-0000-0000-0009-01ff0c3e5e4f	1
113	00000000-0000-0000-0009-01f16526f034	1
113	00000000-0000-0000-0009-01f073f37a91	1
