rank	username	minecraft:dropped/minecraft:acacia_stairs
1	eitanzaki	207
2	KarlKaek	189
3	fade_emerge78823	124
4	Meatlaugh	89
5	ApophisNova	77
5	MyNamaSheff	77
7	Groundler	65
8	mariominejedi	58
9	Doom_melon	54
10	beeperbeeper5	53
11	Mahoose	28
12	ImpavidArcher	23
13	Smoke____	21
14	Groovy_MoonBird	12
15	smogfrog	9
16	Franco093	8
17	joethahobo	7
17	EveryonesUncle	7
17	stahouo	7
20	Blackberry1310	6
20	HolyVenom	6
22	BlueZabu	5
22	Frozil12	5
24	YungMaki	4
25	Menthas	3
25	Swalt	3
25	TylerDupree	3
25	Werbe	3
25	Barlycorn	3
25	RealDelver	3
25	DennyKai	3
32	Drlzyy	2
32	kekhon	2
32	Uzbeki_John	2
32	r123moore	2
32	thewindmillman	2
32	wrinkledpiglet	2
32	Freak_Genius	2
32	Soffbord	2
40	Merv__	1
40	TheSecondLord	1
40	rpmm	1
40	2Stout	1
40	jewbacaman	1
40	TheShyPig	1
40	fw3xywashere	1
40	fkGrim	1
40	_Bguette_	1
40	fluddd	1
40	Steelynan	1
40	TechnoNinja64	1
40	561cool	1
