rank	username	minecraft:dropped/minecraft:skeleton_skull
1	TheSecondLord	17
2	k_ce	9
3	Hyp3rion_	8
4	Kowcio_	6
5	MrKrabOnCoke	5
5	Blu3beast	5
5	jnp_gaming	5
8	luseis	4
8	Tyrannosplart	4
8	Blaiku	4
11	rarrq	3
11	Spacewardharpy7	3
11	Ezekson	3
14	PazinGaming	2
14	Mahoose	2
14	beeperbeeper5	2
14	noam464	2
14	Akoot_	2
14	Segotep999	2
20	pintsizedrogue	1
20	Frozil20	1
20	kekhon	1
20	MattieHD	1
20	Fullut	1
20	YOUMINECRRFT	1
20	Rebytre	1
20	oscminus	1
20	AlexxO_o	1
20	EdGalbraith	1
20	claivin	1
20	FreakGenius	1
20	_flud	1
20	Soplight	1
20	KingMatthew506	1
20	ConnorDanky_	1
20	TechnoNinja64	1
20	PlasticOtari	1
