rank	username	minecraft:dropped/minecraft:purple_stained_glass_pane
1	lillips	177
2	HellsSponge	154
3	YungMaki	58
4	lordpipe	23
5	AnnieBathory	6
6	burbankbuilder28	4
7	ProbsNotNova	2
8	pintsizedrogue	1
8	eitanzaki	1
8	Hyp3rion_	1
8	Onennon	1
8	masskedman	1
8	DarlaMeow	1
8	HesDemonPants	1
