rank	username	minecraft:dropped/minecraft:lava_bucket
1	noam464	1622
2	HellsSponge	1268
3	Hyp3rion_	1056
4	EcksD	530
5	Blaiku	425
6	eitanzaki	223
7	Marbz_	222
8	gcaisawesome	150
9	Freak_Genius	147
10	PigDab	112
11	thewindmillman	108
12	joethahobo	88
13	Werbe	78
14	Mahoose	43
15	Spacewardharpy7	40
16	Nicserso	35
17	Blackberry1310	34
18	Smoke____	33
19	beeperbeeper5	29
19	Hiryu27	29
21	Di_infiri	24
22	Jackattack53	20
23	Smashic	15
24	GlitchyPlate810	13
25	lotarp	11
25	YungMaki	11
27	HoldThatPee	10
28	Wowful	9
28	lordpipe	9
28	jnp_gaming	9
31	Dedalus36	8
31	NotKaden_	8
31	Sky_light_KING	8
31	Soplight	8
35	Civop_	7
36	Blu3beast	6
37	awesomeoneme	5
37	kekhon	5
37	eviltunix	5
37	ApophisNova	5
37	chipklip	5
37	lcvezra	5
37	MyNamaSheff	5
37	Powowowow	5
45	SaucyDark	4
45	himak1	4
45	ooga47	4
45	AssFullaCum	4
45	ProbsNotNova	4
45	oxfordschool	4
45	PlasticOtari	4
52	BobDeBouwer1337	3
52	mwrty	3
52	Queen_Jalapeno	3
52	Skylord_Luke	3
52	TJawesome09	3
52	ILoveCarrot	3
52	Jiminie	3
52	Eraxa	3
52	obzii	3
52	jcool7	3
62	Merv__	2
62	Franco093	2
62	ProfessorBee	2
62	Shiirazuku	2
62	groofles	2
62	Akoot_	2
62	fw3xywashere	2
62	NomadicRobin_	2
62	sufjanlover	2
62	LexMakesHistory	2
62	DarkS0L	2
62	Segotep999	2
62	djancak	2
62	Kymarmalade	2
62	Moetis	2
62	Hermanni__	2
62	Skippeh	2
62	kinas45y5	2
62	EcksDofficial	2
81	Groovy_MoonBird	1
81	ZoeyBrookesPCA2k	1
81	PhantomsGhost_	1
81	JEWISHBadenBeele	1
81	teslawolf38	1
81	I_Am_Mushkin	1
81	ImpavidArcher	1
81	CoffeeNoir	1
81	Kuragari_	1
81	tsohomie	1
81	301851	1
81	Da_Boss_Rani	1
81	Whiterooster001	1
81	dopplexd	1
81	InfernalMound	1
81	bloodbiter	1
81	m_be9	1
81	Ardennes	1
81	500am	1
81	ConcretePirate	1
81	Masssonnn	1
81	4774	1
81	thescout7	1
81	Dali1465	1
81	Inchef	1
81	ROY4LE	1
81	fr_ser	1
81	mick407	1
81	Chromary	1
81	WET_WET_WET	1
81	Bumpy419	1
81	fred870d	1
81	RodSerlingCringe	1
81	Maenara	1
81	EveryonesUncle	1
81	Meatlaugh	1
81	DemTechAlpha	1
81	Fuad_R	1
81	alddd	1
81	claivin	1
81	censorsheep	1
81	Frozil12	1
81	fluddd	1
81	__Auspicious	1
81	stavgod	1
81	__tomato	1
81	brofrickcheaters	1
81	SSytex_X	1
81	Luigipunch989	1
81	UltraZombie	1
81	MilleGrug	1
81	_3Stump_	1
81	KingMatthew506	1
81	Quotary	1
81	smogfrog	1
81	FelixPSY375	1
81	2blox	1
81	Zoeyfortnite	1
81	Teebone15	1
