rank	username	minecraft:dropped/minecraft:granite
1	thewindmillman	182282
2	PigDab	47159
3	noam464	36747
4	Spacewardharpy7	31269
5	Ezekson	19124
6	joethahobo	18790
7	Blaiku	16450
8	EcksD	10376
9	beeperbeeper5	9686
10	YungMaki	9334
11	gcaisawesome	8565
12	Werbe	8138
13	Di_infiri	7933
14	eitanzaki	7459
15	12Magner05	6791
16	Miko_Fullbuster	6100
17	HellsSponge	6075
18	lordpipe	5684
19	FallenCorps	5374
20	EMC_	5252
21	Steelynan	5211
22	Chromary	4635
23	Franco093	4538
24	Xclax101	4008
25	kekhon	3858
26	Skippeh	3783
27	FelixPSY375	3425
28	Freak_Genius	3394
29	Fullut	3297
30	Bumpy419	3132
31	Dedalus36	3124
32	pintsizedrogue	3048
33	Smoke____	3036
34	TheSecondLord	2981
35	ProfessorBee	2971
36	stahouo	2946
37	Hisiste	2866
38	The11thDoctor	2758
39	Jackattack53	2747
40	Skylord_Luke	2736
41	MeetTheWollo	2720
42	lillips	2410
43	fluddd	2408
44	vandmanden	2330
45	Frozil12	2328
46	Onennon	2276
47	LordSpeed37	2257
48	Rumpletaezer	2228
49	500am	2227
50	TheShyPig	2176
51	EveryonesUncle	2091
52	TechnoNinja64	2076
53	Spenduh	2049
54	h2p_emrld	2042
55	livingdaydreams	1995
56	thescout7	1917
57	chipklip	1796
58	MilleGrug	1773
59	Blackberry1310	1743
60	Nagasaki_Riku	1711
61	NomadicRobin_	1637
62	m_be9	1603
63	Wooptey	1602
64	Hermanni__	1599
65	GlitchyPlate810	1570
66	Mahoose	1537
67	WET_WET_WET	1518
68	alderban107	1506
69	Inchef	1490
70	_Dean_123	1432
71	Zoeyfortnite	1430
72	Racengan	1419
73	Segotep999	1371
74	mwrty	1363
75	Hyp3rion_	1349
75	PortlyPete69	1349
77	Ecplosive	1307
77	Toriankel	1307
79	NameGenerat0r	1254
80	UncreativeArtist	1239
81	StormPool	1225
82	k1ngGilgamesh	1224
83	I_Am_Mushkin	1220
84	jnp_gaming	1215
85	rarrq	1194
86	lotarp	1191
87	KarlKaek	1186
88	Cowison	1183
89	FishyBoy3811	1163
90	Blu3beast	1152
91	Eraxa	1112
92	PlzNoBM	1047
93	Arceus1975	1042
94	Kakolbus	1040
95	SkateboardR6	1003
96	diamondgolem35	993
96	Paintz	993
98	__tomato	983
99	set67	975
100	XboxPanda	972
101	Njensen7	963
102	Winklepicker279	952
103	Hiryu27	951
104	yulgur1	938
105	Soplight	894
106	Nicky_H225	880
107	fkGrim	878
108	SaucyDark	869
109	brofrickcheaters	830
110	MSK__	826
111	drunkeeez	805
112	CoffeeNoir	803
113	T045RTY	802
114	Swexti	797
115	gabriels543	778
116	SpaceGrenadier	772
116	Kowcio_	772
118	UrbanPlanner1978	746
119	bigstankyy	744
120	_Virify_	742
121	_Nuf	740
122	SuperPooch06	735
123	Xalithia	727
124	ImpavidArcher	724
124	iHuntWeeaboos	724
126	El_Jalapeno	721
127	Afinnity	711
128	trexgb	689
129	JohnnyFyes	687
130	SquadMonster	683
131	Jiminbub	678
132	Dusk_95	676
133	VentiHilton	659
134	claivin	647
135	boog4loo	641
136	Rasmanden	638
137	Awyrlas	636
138	soundad	633
139	_Karmaa	632
140	CollinMH06	625
141	Wowful	623
142	MightyWertu	622
143	NYJ	615
144	Nicserso	611
145	_Bguette_	609
146	KG1999	597
147	Groovy_MoonBird	591
148	SUN_DREAM	586
149	benediktine1	585
150	RebelAndroid	584
151	jcool7	581
152	NieToksikpl	580
153	Smashic	576
154	PhantomsGhost_	570
155	Corbsman	565
156	hcb238	563
157	NoChumpChange	555
158	Sabby65	550
158	BlankityMcBlank	550
158	UltraZombie	550
161	DTwenty	526
162	Solar_Power	524
163	CalebDHawk	514
164	fw3xywashere	506
165	geekbird	505
166	Lez_	474
167	wezzzi	468
168	IdeallyGrey	466
169	AuroraSkies	465
170	BlancoFlaco	462
170	r123moore	462
172	Malorn_Aetherius	459
173	_Razar	457
174	egglapras	448
175	eviltunix	447
175	Maenara	447
175	djancak	447
178	monky_irl	445
178	ElectricDragon81	445
180	Bandito_Roamer	439
181	Ssor69	438
181	SSytex_X	438
183	ColeSnyder	435
184	Luigipunch989	434
185	Strangemonkey71	432
186	ShedJr_	428
187	Powowowow	427
188	abramgray	423
189	kinas45y5	422
190	HolyVenom	420
191	The_Quack_Dealer	418
192	Kferno	416
193	ApophisNova	409
193	MyNamaSheff	409
195	titanlax	407
196	PeteO1995	406
197	Lord_Jord	403
197	oxfordschool	403
199	EcksDofficial	396
200	silverpopcorn	390
201	_k2x	388
202	teslawolf38	387
203	Dogcorn69420	383
204	surfinggiraffejp	382
205	Kyrum2169	377
206	Cocoamallows	374
207	Guillemet	372
207	SellyZ	372
209	Akoot_	371
210	Jonte0599	370
211	Kubelz	366
212	HesDemonPants	364
213	Groundler	360
214	MunkaKris	359
215	GoofyBread	355
216	Enderslayerxz3	347
217	BobDeBouwer1337	345
218	xxPipperDipperxx	344
219	Crowman1	341
220	SlayerCrypto	337
221	Flapjacker687	335
222	_naturell	330
223	OverallConcept	329
224	Houstonion	327
224	_czarny	327
226	Humpcat	321
227	emrekn	318
227	LAVA129	318
229	shrimp_flips	317
230	YungWali	315
230	Omar_Alone	315
232	2blox	309
233	layabout100	307
234	Historical_Sand	302
234	Nyxiom_	302
234	Fuad_R	302
234	little_dUki	302
238	MovingFish7	301
239	Froste131	300
240	Covalents	298
241	mariominejedi	294
242	ogoa	293
243	JEWISHBadenBeele	292
243	Noah_Bez	292
245	fffMike	291
246	Soap_Bender	290
246	SammiWolfGirl	290
246	_Yonk_	290
249	MustaLoordi	289
250	phomic	285
251	Travka100	281
252	anbbang	278
253	elicobnoah	276
254	Nargotah	275
255	dudcreeper	274
256	BigCronkin	272
257	masskedman	270
257	ori0le	270
259	KliBeast21	269
260	bpmm	265
260	Nycteus_	265
260	WyngGoy	265
263	whoaluv	263
264	IAmTheWalrus910	262
264	CoryJJ	262
266	q_wq	260
267	SvenskaHugo	259
268	prizm_	258
268	Zythose	258
270	GravitySaint	257
271	domagawha	254
272	Incinere	253
272	Kamflame10	253
274	Warlord324	252
275	DaviusMaximoose	249
276	Menthas	244
276	MattieHD	244
278	picardred	243
279	Teebone15	240
280	NinjaKnifeKill	239
281	Eczbek	238
282	KingMatthew506	237
283	Hail_the_wombat	235
284	TheBiggestFeller	234
284	TJawesome09	234
284	MelodyGaysharks	234
287	CliffEmAll	233
287	burbankbuilder28	233
287	bloomkieren	233
290	TheTrueClipse	231
291	AltnumberF4	229
292	TheWildMateo	228
293	MOSS000	227
293	__Auspicious	227
295	lcvezra	225
296	Drlzyy	223
297	NotKaden_	222
297	_TCARREIRA_	222
299	TooManyDuck	221
299	jewbacaman	221
