rank	username	minecraft:dropped/minecraft:warped_stem
1	thewindmillman	332411
2	noam464	109298
3	EcksD	60505
4	Hyp3rion_	10373
5	Jackattack53	5355
6	eitanzaki	2535
7	HolyVenom	2004
8	Blaiku	1889
9	gcaisawesome	1454
10	ConnorDanky_	939
11	Yamdalorian	689
12	Kowcio_	544
13	500am	403
14	VentiHilton	384
15	FishisTTV	373
16	YungMaki	277
17	Mahoose	264
18	StarCookiees_	249
19	Mattesco	234
20	PigDab	215
21	beeperbeeper5	184
22	diamondgolem35	153
23	Syropatathe	150
24	12Magner05	143
24	Di_infiri	143
26	Steelynan	142
27	Spacewardharpy7	131
28	lordpipe	130
29	Arceus1975	128
29	Werbe	128
29	F_Uhre	128
32	Dakar_	119
33	mihimihimihi	95
34	Ezekson	90
35	kekhon	74
36	emreknugrlu	66
37	xxPipperDipperxx	65
38	Wolf_Mauler_73	64
38	Krowuss	64
38	MilleGrug	64
41	_Razaria	62
41	Nicserso	62
43	Pumpkin_P_Patch	58
44	rarrq	51
45	_Huge_Male_	46
45	joethahobo	46
47	T045RTY	41
48	fragrantmonke444	33
49	FreakGenius	32
49	Eraxa	32
51	r123moore	31
52	Enderxz3	29
53	I_Am_Mushkin	25
54	shadowthemonkey	20
54	iSammael	20
56	luseis	15
56	HellsSponge	15
58	weabis	14
59	Sleepy_Evelyn	12
60	EMC_	11
60	Xalithia	11
62	Hpdinosaur	10
62	Tiberonus	10
64	groofles	9
64	PlasticOtari	9
66	Incinere	8
66	TheSecondLord	8
68	AstreaTSS	6
69	Mr_Byzantine	5
69	AuroraSkies	5
71	benediktine1	4
71	jacobsoy	4
71	Optiprimus	4
71	_Mythic____	4
75	DinoDoctor_	3
75	Lez_	3
75	Winklepicker279	3
75	Akoot_	3
79	Fullut	2
79	lorpus	2
79	Zythose	2
79	Fuad_R	2
79	TheEnderMan548	2
79	Biites	2
85	teslawolf38	1
85	ECstardust	1
85	_Dean_123	1
85	set67	1
85	Awyrlas	1
85	PegLegPete93	1
85	M_Patata	1
85	GreedyFern8581	1
85	RebytreGT	1
85	AlexxO_o	1
85	sammidk	1
85	lizardfightclub	1
85	NomadicRobin_	1
85	EveryonesUncle	1
85	Lutres_	1
85	Airem_Core	1
85	MasterNueve	1
85	Blasterboy54	1
85	Soplight	1
85	Quotary	1
85	trexgb	1
