rank	username	minecraft:dropped/minecraft:iron_boots
1	Hyp3rion_	2825
2	noam464	423
3	Blaiku	392
4	thewindmillman	304
5	beeperbeeper5	142
6	OreTheBear	98
7	eitanzaki	87
8	Yamdalorian	78
9	akap47	72
10	MightyWertu	69
11	_Virify_	53
12	Marbz_	52
13	RebelAndroid	49
14	Historical_Sand	46
15	mwrty	39
16	gcaisawesome	35
16	FreakGenius	35
18	Smashic	32
18	Di_infiri	32
20	Lord_Jord	31
21	Jackattack53	29
22	TheSecondLord	28
23	HellsSponge	27
24	pintsizedrogue	26
25	oscminus	25
25	PigDab	25
25	xzvu	25
28	Cowison	22
29	rarrq	21
29	Soplight	21
31	MattieHD	20
31	lordpipe	20
33	luseis	18
34	EcksD	17
35	Kowcio_	15
36	Frozil20	14
36	Skylord_Luke	14
38	Apollo_993	12
38	SmashingPump	12
38	Akoot_	12
41	emrekn	11
41	RebytreGT	11
41	emreknugrlu	11
41	Quotary	11
41	skitzxo	11
46	Bumpy419	10
46	Groundler	10
46	mihimihimihi	10
49	ZaneABrain	9
49	WeebleSock	9
49	fluddd	9
49	_Mythic____	9
49	cichy096	9
54	Mahoose	8
54	Rich_Kat	8
54	Fullut	8
54	Eraxa	8
54	ConnorDanky_	8
59	diamondgolem35	7
59	set67	7
59	Chromary	7
59	Werbe	7
59	ooga47	7
59	Manaateee	7
59	Spacewardharpy7	7
59	ElectricDragon81	7
59	Kubeusz2010	7
59	Jimb0nat0r	7
69	PhantomsGhost_	6
69	ImpavidArcher	6
69	Jokerman369	6
69	masskedman	6
69	Segotep999	6
69	Ezekson	6
75	CLG_Kata	5
75	Blackberry1310	5
75	Tiberonus	5
75	Xalithia	5
75	Kakolbus	5
75	out1s	5
75	EveryonesUncle	5
75	wobn	5
75	Tyrannosplart	5
75	NameGenerat0r	5
75	Hisiste	5
75	ProbsNotNova	5
75	laron58	5
75	Skippeh	5
75	jnp_gaming	5
90	JohnnyFyes	4
90	CloroxBleach385	4
90	iElijahi	4
90	12Magner05	4
90	lorpus	4
90	himak1	4
90	Kubelz	4
90	Hiryu27	4
90	NomadicRobin_	4
90	AspenLightVT	4
90	501g	4
90	Blu3beast	4
90	Buuck_	4
90	_Meow_Mix	4
90	monky_irl	4
90	Cocoamallows	4
90	AssFullaCum	4
90	djancak	4
90	Chuglyfe	4
90	Luigipunch989	4
90	_i_ERROR_i_	4
90	NATE_the_HALO	4
90	_KuruKuru	4
90	smogfrog	4
114	H0UNDFRMH3LL	3
114	ECstardust	3
114	I_Am_Mushkin	3
114	inushibaa	3
114	ColeSnyder	3
114	Tolhart	3
114	Incinere	3
114	T045RTY	3
114	Huwulling	3
114	Lez_	3
114	SquadMonster	3
114	Stynxy	3
114	CliffEmAll	3
114	TheDiamondCG	3
114	500am	3
114	thescout7	3
114	mariominejedi	3
114	yheece	3
114	Rumpletaezer	3
114	hanaryheatwave	3
114	popcanter	3
114	Arceus1975	3
114	Felenov	3
114	Kouridragon	3
114	F_Uhre	3
114	738b4f65-6cbd-4ead-ba31-c14211abfb06	3
114	Matyyy15	3
114	jewbacaman	3
114	Gryglu583	3
114	Deathkob	3
114	Beagle_Boy	3
114	DarlaMeow	3
114	censorsheep	3
114	Racengan	3
114	MS_Pryxx	3
114	silverpopcorn	3
114	MakeHistory157	3
114	p4pillio	3
114	Kyrum2169	3
114	Moetis	3
114	PlasticOtari	3
114	annebolyn	3
114	diggydog67	3
114	00000000-0000-0000-0009-01ff0c3e5e4f	3
158	Mr_Byzantine	2
158	heysushii	2
158	Froste131	2
158	Frigzy_	2
158	abramgray	2
158	fanofbands101	2
158	Ze1ig	2
158	Merv__	2
158	bigstankyy	2
158	BlancoFlaco	2
158	Flores991	2
158	Horizons86	2
158	Wooptey	2
158	CheetohMilk	2
158	ActualPatbaf	2
158	MoistMicrowave	2
158	ShedJr_	2
158	joethahobo	2
158	teqilas	2
158	cheerytomato	2
158	Auseawesome	2
158	Cryptacity	2
158	ABUSNA1996	2
158	kekhon	2
158	rpmm	2
158	_Nuf	2
158	Secret_Canary	2
158	eclipseboi	2
158	_Dean_123	2
158	Pelbo	2
158	i2f8x4h8ro	2
158	redikul	2
158	Kkanot	2
158	Nach0Bear	2
158	KGTV	2
158	Inchef	2
158	2Stout	2
158	XboxPanda	2
158	Zaridey	2
158	Ecplosive	2
158	crashomon	2
158	Winklepicker279	2
