rank	username	minecraft:dropped/minecraft:jungle_pressure_plate
1	Njensen7	127
2	_TCARREIRA_	11
3	EveryonesUncle	5
4	Freak_Genius	4
5	Mahoose	3
5	Nicky19	3
7	Prodiginus	1
7	noam464	1
7	Hyp3rion_	1
7	Airem_Core	1
