rank	username	minecraft:dropped/minecraft:white_concrete_powder
1	Hyp3rion_	126691
2	noam464	60792
3	Jackattack53	33898
4	Iamthejo	25889
5	EcksD	20225
6	Blaiku	3896
7	lillips	2986
8	Rich_Kat	2468
9	SkateboardR6	2076
10	beeperbeeper5	1926
11	thewindmillman	1648
12	_Karmaa	1544
13	FreakGenius	1284
14	Smashic	1216
15	eitanzaki	897
16	VentiHilton	832
17	SuperPooch06	589
18	RealGroot	527
19	IamCL4SSY	515
20	diamondgolem35	463
21	joethahobo	445
22	Di_infiri	396
23	__tomato	386
24	NatalieTW	384
24	Blackberry1310	384
26	BumbleBeever	376
27	kekhon	372
28	TheSecondLord	320
28	Leyna3	320
30	Blu3beast	226
31	PigDab	203
32	Inchef	192
32	Ezekson	192
34	Smoke____	191
35	GravitySaint	152
36	Steelynan	140
37	_Huge_Male_	133
38	GlitchyPlate810	130
39	stellarjay	129
40	funeralhome	128
40	set67	128
40	HyperCave	128
40	Eerini	128
40	Syropatathe	128
40	claivin	128
40	jnp_gaming	128
47	emrekn	120
48	500am	117
49	Akoot_	106
50	bladeefan2009	88
51	Fuad_R	85
52	fluddd	83
53	oreee	72
53	Mythic1130	72
55	xzvu	70
56	NameGenerat0r	67
57	lordpipe	66
57	RadarHz	66
57	Biites	66
60	T045RTY	64
60	Uzbeki_John	64
60	WET_WET_WET	64
60	Zythose	64
60	groofles	64
60	Nicserso	64
66	_Bguette_	63
67	Lez_	58
68	Franco093	56
69	AltnumberF4	51
70	Tyrannosplart	50
71	MunkaKris	40
71	JayToe	40
73	Groundler	32
74	ImpavidArcher	26
75	Mahoose	21
75	SteveCraftBlocks	21
77	Quaintster	18
78	burbankbuilder28	17
78	Kyrum2169	17
80	CattSoup	16
81	Azmodan_246	10
82	RoskobiOne	8
82	Rumpletaezer	8
84	HellsSponge	6
84	stavgod	6
86	Mr_Byzantine	4
86	r123moore	4
86	YungMaki	4
86	PlzNoBM	4
90	PazinGaming	3
90	ItsAki_	3
92	rarrq	2
92	titanlax	2
92	Hanselhoof	2
92	ROY4LE	2
92	Lutres_Torane	2
92	Jimb0nat0r	2
98	I_Am_Mushkin	1
98	ShedJr_	1
98	MrAdamant209	1
98	thescout7	1
98	NotTrixi	1
98	LeauVox4921	1
98	xxPipperDipperxx	1
98	DarlaMeow	1
98	UCP_TheKingK	1
98	Skippeh	1
