rank	username	minecraft:dropped/minecraft:crimson_fence_gate
1	Freak_Genius	53
2	thewindmillman	16
3	Nesquiczek	2
3	RebelAndroid	2
3	beeperbeeper5	2
3	gcaisawesome	2
7	noam464	1
7	Kowcio_	1
