rank	username	minecraft:dropped/minecraft:iron_shovel
1	Di_infiri	69
2	gcaisawesome	51
3	rarrq	47
4	FreakGenius	41
5	eitanzaki	37
6	PigDab	34
7	Smashic	31
8	Yirtle	28
9	noam464	26
10	luseis	22
11	H0UNDFRMH3LL	19
11	bloodbiter	19
13	Racengan	17
14	beeperbeeper5	16
14	TheSecondLord	16
16	mwrty	15
16	tonyth3tiger	15
18	ShedJr_	14
18	Xalithia	14
18	RedcatVII	14
18	Skippeh	14
22	Blackberry1310	13
22	Jackattack53	13
22	xzvu	13
25	joethahobo	12
25	Hyp3rion_	12
25	djancak	12
28	Historical_Sand	11
28	thewindmillman	11
28	Zoeyfortnite	11
31	pintsizedrogue	10
31	cedric72	10
31	Hisiste	10
31	Spacewardharpy7	10
35	Ecplosive	9
35	monky_irl	9
35	Kowcio_	9
38	ImpavidArcher	8
38	picardred	8
38	set67	8
38	Bumpy419	8
38	EveryonesUncle	8
38	Blaiku	8
38	mihimihimihi	8
38	sp00ky_ghost977	8
38	Njensen7	8
38	bladeefan2009	8
48	_Virify_	7
48	6king6colt6	7
48	KarlKaek	7
48	SyntheticSurgeon	7
48	kekhon	7
48	thescout7	7
48	Lord_Zacler	7
48	NameGenerat0r	7
48	RealGroot	7
48	SammiWolfGirl	7
48	Ezekson	7
48	jnp_gaming	7
60	Froste131	6
60	jessemgaming	6
60	stevewithclout	6
60	Werbe	6
60	LilLizardWizard	6
60	Lord_Jord	6
60	Toiton	6
60	Jamstroxian	6
60	Blu3beast	6
60	ConnorDanky_	6
60	xolstoi	6
60	Smoke____	6
72	Lepthymo	5
72	seanitoo	5
72	Bandito_Roamer	5
72	Frozil20	5
72	RebelAndroid	5
72	Mahoose	5
72	tsohomie	5
72	Pelbo	5
72	Fullut	5
72	ROY4LE	5
72	Bazongoman	5
72	Chromary	5
72	iElijah	5
72	_Cloverbelle_	5
72	Groundler	5
72	WyngGoy	5
72	OG_Songsee	5
72	Eraxa	5
72	PlzNoBM	5
72	KingMatthew506	5
72	TheOnlyRake	5
72	cichy096	5
72	Nicserso	5
72	tompup	5
72	Enderxz3	5
72	2bolx_	5
98	NatalieTW	4
98	123louis456	4
98	Mowelan	4
98	T045RTY	4
98	lotarp	4
98	SquadMonster	4
98	Euclidoris	4
98	MinttyFressh	4
98	_Dean_123	4
98	SellyZ	4
98	Kakolbus	4
98	Arceus1975	4
98	DJenthousiast	4
98	Akoot_	4
98	masskedman	4
98	_Bguette_	4
98	wobn	4
98	_Karmaa	4
98	Cyntrical	4
98	_k2x	4
98	Warlord324	4
