rank	username	minecraft:dropped/minecraft:ink_sac
1	thewindmillman	268096
2	Hisiste	5246
3	EcksD	3558
4	joethahobo	2047
5	MattieHD	1989
6	Ezekson	1264
7	noam464	1117
8	beeperbeeper5	847
9	Smoke____	841
10	_Virify_	718
11	Blackberry1310	678
12	Racengan	655
13	oxfordschool	624
14	Blaiku	536
15	Spacewardharpy7	494
16	PigDab	428
17	lordpipe	385
18	NomadicRobin_	382
19	Awyrlas	356
20	Freak_Genius	317
21	rarrq	240
22	Comma__	228
23	YungMaki	225
24	ApophisNova	197
24	MyNamaSheff	197
26	Xclax101	192
27	Mahoose	188
28	Nicserso	164
29	youhjjhhhjj	152
30	Crowman1	151
31	gcaisawesome	147
32	Bandito_Roamer	144
33	M_Patata	141
34	Enderslayerxz3	139
35	Frozil12	136
35	PlasticOtari	136
37	MasterNueve	134
38	teslawolf38	128
38	Rebytre	128
40	Kowcio_	112
41	Segotep999	106
42	TechnoNinja64	105
43	Hyp3rion_	104
44	RebelAndroid	102
45	eitanzaki	97
46	Legendosh	93
47	Bumpy419	92
48	Powowowow	90
49	OverallConcept	80
50	kekhon	78
51	Paintz	70
51	Akoot_	70
51	Eczbek	70
54	T045RTY	69
54	MangoTheFish	69
54	claivin	69
57	BobDeBouwer1337	68
57	Arceus1975	68
59	Deathkob	64
60	Kkanot	62
61	SammiWolfGirl	52
62	kinas45y5	51
63	Wowful	50
64	diamondgolem35	47
64	ImpavidArcher	47
66	_Dean_123	46
67	MeetTheWollo	42
68	cichy096	41
68	jnp_gaming	41
68	EcksDofficial	41
71	WyngGoy	40
72	k1ngGilgamesh	39
72	RadarHz	39
74	El_Jalapeno	36
74	_TCARREIRA_	36
76	obzii	33
77	Kyrum2169	32
78	SaucyDark	31
78	chipklip	31
80	XboxPanda	29
81	Merv__	28
82	Da_Boss_Rani	27
82	Chromary	27
82	SvenskaHugo	27
85	SteveCraftBlocks	26
85	SvenskaAlvar	26
87	Drlzyy	24
87	eviltunix	24
87	2Stout	24
90	12Magner05	22
90	Blu3beast	22
92	lotarp	21
92	Lord_Jord	21
92	33sudo	21
92	Steelynan	21
96	ShedJr_	20
96	set67	20
96	Jackattack53	20
96	Onennon	20
96	englandlondon	20
101	Di_infiri	19
101	SuperPooch06	19
101	Eraxa	19
101	smogfrog	19
105	CollinMH06	18
105	MineMaster0012	18
105	Vellu21	18
108	Inchef	17
108	Skylord_Luke	17
