rank	username	minecraft:dropped/minecraft:pink_terracotta
1	thewindmillman	79684
2	EcksD	288
3	TheSecondLord	256
3	Spacewardharpy7	256
5	cuddlyMonster	180
6	Hyp3rion_	154
7	lordpipe	129
8	MovingFish7	128
9	Kowcio_	123
10	EMC_	65
11	bl1ss0	64
11	NameGenerat0r	64
11	Shogunite	64
14	Krowuss	58
15	eitanzaki	31
15	luseis	31
17	mwrty	22
17	Blaiku	22
19	noam464	14
19	FreakGenius	14
21	Lez_	12
21	Jackattack53	12
21	Nicserso	12
24	Steelynan	8
25	Werbe	7
26	kekhon	6
27	Mahoose	5
27	doublemaki	5
29	shineh10	3
30	SteveCraftBlocks	2
31	Sleek_Storm_721	1
31	beeperbeeper5	1
31	ItsDeltaMC	1
31	Yamdalorian	1
