rank	username	minecraft:dropped/minecraft:deepslate_diamond_ore
1	500am	363
2	Jackattack53	136
3	Hyp3rion_	91
4	SmashingPump	64
5	Spacewardharpy7	40
6	luseis	32
7	Hisiste	30
8	Segotep999	28
9	Fuad_R	27
10	Apollo_993	23
11	pintsizedrogue	22
12	Krowuss	19
12	Rebytre	19
14	beeperbeeper5	17
15	MrKrabOnCoke	14
16	Smashic	11
16	UCP_TheKingK	11
16	AdmiralSmoke	11
19	Manaateee	10
19	TheEnderMan548	10
21	pixelviolin	8
21	EcksD	8
23	gcaisawesome	7
23	noam464	7
25	Kowcio_	6
25	_i_ERROR_i_	6
25	Enderxz3	6
28	LeonelSalamanca	5
28	NomadicRobin_	5
28	calamariclam_I	5
31	PazinGaming	4
31	CattSoup	4
33	kekhon	3
33	thewindmillman	3
33	Jimb0nat0r	3
36	joethahobo	2
36	Mattesco	2
36	groofles	2
36	YungMaki	2
36	AltnumberF4	2
41	ECstardust	1
41	SyntheticSurgeon	1
41	Huwulling	1
41	shadowthemonkey	1
41	Solar_Power	1
41	lordpipe	1
