rank	username	minecraft:dropped/minecraft:lodestone
1	oxfordschool	2
2	pintsizedrogue	1
2	Blackberry1310	1
2	Akoot_	1
2	pixelviolin	1
2	Segotep999	1
2	EcksD	1
2	Smoke____	1
