rank	username	minecraft:dropped/minecraft:kelp
1	Blu3beast	164112
2	Hyp3rion_	39332
3	Fuhrer_Teemo	39266
4	thewindmillman	32111
5	Ezekson	21551
6	WyngGoy	15252
7	Spacewardharpy7	13491
8	MightyWertu	13086
9	eitanzaki	10419
10	Gregward_Smith	8679
11	noam464	5751
12	joethahobo	5658
13	Yamdalorian	5335
14	jcool7	4945
15	YungMaki	4934
16	Jackattack53	4674
17	non089	4546
18	EcksD	4188
19	Arceus1975	4142
20	Bumpy419	3800
21	Huwulling	3392
22	HellsSponge	3056
23	thescout7	2924
24	pintsizedrogue	2810
25	Kakolbus	2712
26	Franco093	2606
27	BumbleBeever	2448
28	PhantomsGhost_	2293
29	TechnoNinja64	2236
30	Blaiku	2186
31	Fuad_R	2152
32	Mattesco	1953
33	Cocoamallows	1910
34	MilleGrug	1860
35	eviltunix	1829
36	beeperbeeper5	1765
37	SlayerCrypto	1678
38	Segotep999	1663
39	Di_infiri	1662
40	Da_Boss_Rani	1635
41	ayamefag	1619
42	Awyrlas	1513
43	Zoeyfortnite	1498
44	EMC_	1450
45	heckface	1177
46	geekbird	1171
47	SuperPooch06	1156
48	Lord_Jord	1140
49	rarrq	1136
50	ItsColin11	1133
51	Chromary	1123
52	12Magner05	1101
53	Snowflowe	1088
54	Mahoose	1083
55	carloselpapii	1073
56	RebytreGT	1042
57	TheSecondLord	1037
58	NomadicRobin_	1005
59	PortlyPete69	927
60	_Dean_123	906
61	Motsaro	884
62	Soplight	874
63	AspenLightVT	838
64	KingFaenor	831
65	Blackberry1310	830
66	Seyaboy	829
67	yulgur1	814
68	diamondgolem35	810
69	Powowowow	800
70	Krowuss	793
71	Synthoum	778
72	calamariclam_I	752
73	mwrty	747
74	Enderxz3	741
75	featherflyy	733
76	obzii	719
77	gustarlep	717
78	tortfeezy	705
79	Racengan	704
80	ImpavidArcher	703
81	Comma__	698
82	xzvu	671
83	xDraggin	651
84	KevinLevrone9983	642
85	IamCL4SSY	617
86	Xalithia	613
87	RebelAndroid	591
87	FreakGenius	591
89	Groundler	577
90	skitzxo	575
91	M_Patata	574
91	MasterNueve	574
93	Fullbit_	572
94	Jimb0nat0r	556
95	Skippeh	553
96	AlexxO_o	549
97	Sheldor097	542
98	EveryonesUncle	541
99	kekhon	518
99	Strangemonkey71	518
101	gcaisawesome	516
102	Kyrum2169	495
103	RoseLilyTV	494
104	Manaateee	493
105	jnp_gaming	492
106	NameGenerat0r	489
107	Werbe	481
108	Groovy_MoonBird	480
109	SSytex_X	461
110	Touched_Bread	422
111	Rasmanden	413
112	Kowcio_	408
112	TheSandwhich_	408
114	ConnorDanky_	406
115	ApophisNova	405
115	MyNamaSheff	405
117	MoistMicrowave	391
118	PigDab	386
119	pixelviolin	385
120	SellyZ	384
121	lordpipe	382
122	SaucyDark	378
123	Alteriity	357
124	Luigipunch989	354
125	Zythose	343
126	MakeHistory157	339
127	I_Am_Mushkin	337
128	Fullut	327
128	33sudo	327
130	Archsam	324
131	Onennon	311
132	zToasty69z	310
133	Auseawesome	308
134	FirsTimeGamingTV	307
135	07shiny	304
136	iElijahi	302
136	AstreaTSS	302
138	Hiryu27	300
139	yaboo88	297
140	Hyugo	295
141	Apollo_993	287
141	tuckerdoodle	287
143	EvenMina	282
144	Swexti	280
145	Mr_Froxy	276
145	Warlord324	276
147	DemTechAlpha	275
148	Maenara	270
149	_Meow_Mix	268
150	set67	267
151	Rumpletaezer	265
152	robotemo	264
153	Tyrannosplart	260
154	Frozil20	258
155	CLG_Kata	256
156	TheShyPig	255
156	emreknugrlu	255
158	peach0s	254
159	Eraxa	249
160	KGTV	247
161	hanaryheatwave	246
162	wezzzi	242
163	SammiWolfGirl	237
164	__tomato	221
165	crashomon	220
166	Pumpkin_P_Patch	219
167	_Karmaa	218
167	fluddd	218
169	SpacesickPrism	217
170	Iagoku	215
170	Moetis	215
172	k_ce	212
172	Nicky_H225	212
172	Tobias0113	212
175	sandmire	211
175	Dogcorn69420	211
177	Smashic	208
178	iSammael	202
179	ECstardust	201
180	ThePoliteG	200
181	EdGalbraith	198
181	GoofyBread	198
183	j5ylim	194
184	Nicserso	193
185	AuroraValkyrie	190
185	ProfessorBee	190
185	HolyVenom	190
188	silverpopcorn	188
189	Jimi7hits	186
190	FishisTTV	185
191	Weepingbiel	181
192	SvenskaHugo	177
193	The_slideV3	167
194	ehunt54	166
194	Steelynan	166
194	FelixPSY375	166
197	MinttyFressh	165
198	Russiancat1	159
198	SUN_DREAM	159
200	cedric72	155
201	xxPipperDipperxx	150
202	NatalieTW	145
202	CoffeeNoir	145
202	picardred	145
202	Secret_Canary	145
202	OverallConcept	145
207	TheWildMateo	144
208	Felenov	141
209	Cambo5000	136
209	luseis	136
211	XboxPanda	135
212	Lez_	133
212	catandmoose	133
214	Historical_Sand	131
215	BreadBacon	129
216	SmashingPump	127
217	Akoot_	126
218	Kura2218	122
219	Z3braYTIL	121
219	CalebDHawk	121
221	Ecplosive	120
222	MAns_44	118
222	Faart	118
224	belly0_0	116
224	The11thDoctor	116
226	ROY4LE	115
227	AlphaWolfPlaysMC	112
227	El_Jalapeno	112
227	mihimihimihi	112
230	Hisiste	111
231	Silvo614	110
232	WET_WET_WET	109
232	Spenduh	109
234	KingMatthew506	108
235	T045RTY	106
236	Celeste_121	105
237	Xclax101	104
238	Cowison	102
239	titanlax	99
239	ooga47	99
241	6king6colt6	96
241	hm947	96
241	AssFullaCum	96
244	OfficerAnvil	95
245	ediballbearings	94
246	Jovaphobic	93
247	thebaddruid	92
248	Merv__	91
249	legal_tax_evader	89
250	Optiprimus	88
250	NATE_the_HALO	88
252	ExtraDumb	87
252	_Nuf	87
254	Ssor69	85
255	Sleepy_Time_	84
256	PazinGaming	83
256	platinumzero	83
258	oscminus	82
258	FishyBoy3811	82
260	Soap_Bender	81
261	Skylord_Luke	80
262	Kouridragon	78
263	myaccountwasgone	77
263	RobotMinion101	77
263	StinkyDiplomat	77
266	QuakerOatsGriff	75
266	claivin	75
268	gren_ben	74
269	seanitoo	73
270	ratglock	72
270	ZoomieZoomie	72
272	jushykins	71
272	himak1	71
272	Inbefour	71
275	pretty_pink_reno	70
276	shadowthemonkey	69
277	Incinere	68
277	Marbz_	68
277	GravitySaint	68
277	TheOnlyRake	68
281	elicobnoah	64
281	Hamsanders	64
281	valiSW	64
281	yheece	64
281	Vetral1	64
281	plato2066	64
281	TheKingK_	64
281	Bawbman	64
281	PlzNoBM	64
281	Legendosh	64
291	Wooptey	63
291	Shazzyling	63
291	Saucepeh	63
291	fkGrim	63
295	_i_ERROR_i_	61
296	_TCARREIRA_	60
297	500am	59
297	Ender_Souls	59
297	SkateboardR6	59
300	paranoid_plant	58
