rank	username	minecraft:dropped/minecraft:music_disc_far
1	HellsSponge	225
2	Blu3beast	134
3	_Bguette_	36
4	sadvavilloso	15
5	ApophisNova	12
5	MyNamaSheff	12
7	surfinggiraffejp	7
8	eitanzaki	6
8	Mahoose	6
10	Skylord_Luke	5
10	TechnoNinja64	5
12	Deodorante	4
12	Freak_Genius	4
14	PhantomsGhost_	3
14	thewindmillman	3
14	Spacewardharpy7	3
14	lcvezra	3
18	pintsizedrogue	2
18	Fullut	2
18	xxPipperDipperxx	2
18	Di_infiri	2
18	The11thDoctor	2
18	Jiminie	2
18	chipklip	2
25	youhjjhhhjj	1
25	LoboTheLobster	1
25	Mercadies	1
25	Blackberry1310	1
25	eddiehobbit	1
25	ProfessorBee	1
25	_Dean_123	1
25	set67	1
25	SellyZ	1
25	noam464	1
25	Oliver_Frost	1
25	ese_wn_po	1
25	DemTechAlpha	1
25	Quaintster	1
25	_TCARREIRA_	1
25	Hermanni__	1
25	Powowowow	1
