rank	username	minecraft:dropped/minecraft:warped_pressure_plate
1	thewindmillman	92469
2	EcksD	320
3	Hyp3rion_	64
4	Dakar_	4
5	StarCookiees_	2
6	EMC_	1
6	Awyrlas	1
6	gcaisawesome	1
6	noam464	1
6	Spacewardharpy7	1
