rank	username	minecraft:dropped/minecraft:diamond_chestplate
1	Hyp3rion_	62
2	eitanzaki	60
3	sheherhers	57
4	TheSecondLord	36
5	Di_infiri	20
6	rarrq	18
7	noam464	17
7	Blu3beast	17
9	EcksD	16
10	djancak	15
11	cichy096	14
12	MattieHD	13
12	Smussa	13
14	mwrty	12
14	mimbo1211	12
14	Kyrum2169	12
14	xzvu	12
18	ImpavidArcher	11
18	Blaiku	11
18	monky_irl	11
21	Frozil20	10
21	Racengan	10
23	gabriels543	9
23	Akoot_	9
25	WET_WET_WET	8
25	Werbe	8
25	AlexxO_o	8
25	Gryglu583	8
25	weabis	8
25	RealGroot	8
31	SoosAmongus	7
31	SmashingPump	7
31	kekhon	7
31	FreakGenius	7
31	GlitchyPlate810	7
31	Hermanni__	7
31	ConnorDanky_	7
31	TechnoNinja64	7
31	bladeefan2009	7
40	H0UNDFRMH3LL	6
40	beeperbeeper5	6
40	Fullut	6
40	set67	6
40	ItsRyanM8	6
40	Ecplosive	6
40	Bumpy419	6
40	F_Uhre	6
40	luseis	6
40	Groundler	6
40	LeeMcGee30	6
51	PhantomsGhost_	5
51	teslawolf38	5
51	Blackberry1310	5
51	Z3braYTIL	5
51	emrekn	5
51	CollinMH06	5
51	IamCL4SSY	5
51	Lord_Jord	5
51	Soap_Bender	5
51	Shogunite	5
51	claivin	5
51	censorsheep	5
51	Kowcio_	5
51	__tomato	5
51	Soplight	5
51	gusstationwerker	5
51	Kubeusz2010	5
51	Nicserso	5
51	jnp_gaming	5
70	SaucyDark	4
70	Lez_	4
70	blevster	4
70	JuuustYeet	4
70	ProfessorBee	4
70	Mewar	4
70	XboxPanda	4
70	MangoTheFish	4
70	TheWildMateo	4
70	Mattesco	4
70	LeGold	4
70	TJawesome09	4
70	yulgur1	4
70	Inbefour	4
70	lillips	4
70	Tyrannosplart	4
70	Fuad_R	4
70	Kura2218	4
70	lcvezra	4
70	fffMike	4
70	jcool7	4
70	Eczbek	4
92	fanofbands101	3
92	EMC_	3
92	Bad_At_Names_Guy	3
92	T045RTY	3
92	Alteriity	3
92	Mahoose	3
92	H72l9w	3
92	fr0stss	3
92	gaziter10	3
92	LoboTheLobster	3
92	Valoth	3
92	_Nuf	3
92	boog4loo	3
92	Inchef	3
92	GreedyFern8581	3
92	Rebytre	3
92	Skylord_Luke	3
92	CaptainDeadBread	3
92	The11thDoctor	3
92	groofles	3
92	masskedman	3
92	CuzIm2Kev	3
92	JESS_THE_RERE	3
92	MyNameIsDakar	3
92	DarlaMeow	3
92	shrimp_flips	3
92	Nycteus_	3
92	Bonzaidalek	3
92	Eraxa	3
92	SammiWolfGirl	3
92	OfficerAnvil	3
92	Ezekson	3
92	xolstoi	3
125	Krasnal1337	2
125	seanitoo	2
125	Bandito_Roamer	2
125	_Virify_	2
125	heysushii	2
125	FazeObama69	2
125	CloroxBleach385	2
125	PazinGaming	2
125	hollowww	2
125	6king6colt6	2
125	Sleek_Storm_721	2
125	I_Am_Mushkin	2
125	KarlKaek	2
125	diamondgolem35	2
125	GarthWiest	2
125	DinoDoctor_	2
125	LeDuctTape	2
125	Killercatty78	2
125	Incinere	2
125	Huwulling	2
125	ThiccExotic	2
125	joethahobo	2
125	Historical_Sand	2
125	tramizu	2
125	Euclidoris	2
125	Auseawesome	2
125	Comma__	2
125	Secret_Canary	2
125	CyrusIsTired	2
125	Xalithia	2
125	ROY4LE	2
125	xxPipperDipperxx	2
125	NotKaden_	2
125	Zaridey	2
125	ImDisconnected_	2
125	GOOBERGABE04	2
125	Jackattack53	2
125	SuperPooch06	2
125	hanaryheatwave	2
125	0Vyp_	2
125	TheShyPig	2
125	DC_XII	2
125	Ender_Souls	2
125	zToasty69z	2
125	Luminad3	2
125	sxc_	2
125	SaintJosie	2
125	wezzzi	2
125	CrumplyBanjo_	2
125	gustarlep	2
125	TheCordicus	2
125	EveryonesUncle	2
125	The_slideV3	2
125	HellsSponge	2
125	NameGenerat0r	2
125	Toriankel	2
125	stavgod	2
125	Cliopatra	2
125	YungMaki	2
125	ProbsNotNova	2
125	laron58	2
125	Chihuahua_Fan	2
125	Haadrada	2
125	FelixPSY375	2
125	AltnumberF4	2
125	Legendosh	2
125	HesDemonPants	2
125	Sral7	2
125	Smoke____	2
194	funeralhome	1
194	HBA00_	1
194	peachfuzz1267	1
194	ProbablyNick	1
194	Harotio	1
194	Ninzyyy	1
194	CadenSteele	1
194	Ev0luti0nz	1
194	dabloons	1
194	Merv__	1
194	jessemgaming	1
194	martvnka	1
194	bigstankyy	1
194	EkkoTraveler	1
194	gren_ben	1
194	BlancoFlaco	1
194	hm947	1
194	Isaac70096	1
194	Hpdinosaur	1
194	Furiuosbeast0404	1
194	Wooptey	1
194	NoHaHeHa	1
194	SyntheticSurgeon	1
194	DrogV2	1
194	Reamdin	1
194	ShedJr_	1
194	jessewegottacook	1
194	ManlyAdjective	1
194	nocturne78	1
194	speenduhXD	1
194	heckface	1
194	Vizzoid	1
194	prelutrinae	1
194	NieToksikpl	1
194	Frxnkz	1
194	Crowman1	1
194	PoofHairGuy	1
194	QuakerOatsGod	1
194	Cryptacity	1
194	jushykins	1
194	jacxhadow	1
194	Jakobo1337	1
194	Nicky_H225	1
194	StanceTB	1
194	AdvertisingMerc	1
194	TheThomas69	1
194	rpmm	1
194	SoftSix	1
194	_Dean_123	1
194	G1ldor	1
194	Smashic	1
194	Masssonnn	1
194	Flapjacker687	1
194	Yirtle	1
194	lorpus	1
194	Blazebit	1
194	himak1	1
194	KGTV	1
194	eviltunix	1
194	olliebollie48	1
194	eiC_	1
194	juuustpeachy	1
194	Rumpletaezer	1
194	yaboo88	1
194	Snowflowe	1
194	domagawha	1
194	Azmodan_246	1
194	d4mndaniel2	1
194	ApophisNova	1
194	k1ngGilgamesh	1
194	Afinnity	1
194	ooga47	1
194	MinerDec	1
194	Sqwishy	1
194	PigDab	1
194	Jonte0599	1
194	sammidk	1
194	KeruNatsema	1
194	thgrocks	1
194	ZA07	1
194	Maenara	1
194	Nicky19	1
194	fw3xywashere	1
194	xDraggin	1
194	OLookItsAnxiety	1
194	binman420	1
194	NoChumpChange	1
194	ese_wn_po	1
194	IsabellasOF	1
194	NYJ	1
194	HwamzUK	1
194	Lutres_Torane	1
194	UnThinkable2110	1
194	OverallConcept	1
194	Lekol	1
194	EfficientC52	1
194	fluddd	1
194	MightyWertu	1
194	GravitySaint	1
194	ConJaBz	1
194	MS_Pryxx	1
194	__Auspicious	1
194	Fildyr	1
194	THEKINGLyric10	1
194	LazySupport00	1
194	technic_squirrel	1
194	Spacewardharpy7	1
