rank	username	minecraft:dropped/minecraft:small_amethyst_bud
1	thewindmillman	29
2	diamondgolem35	21
3	dartwaffle	9
4	Hyp3rion_	8
5	Smashic	5
5	Kowcio_	5
7	NomadicRobin_	3
7	luseis	3
7	MilleGrug	3
10	hanaryheatwave	2
10	Rebytre	2
10	binman420	2
13	ITDV	1
13	Crowman1	1
13	noam464	1
13	CollinMH06	1
13	gusstationwerker	1
