rank	username	minecraft:dropped/minecraft:bamboo_block
1	Hyp3rion_	369772
2	lpinfinity	5666
3	_Duckery	1056
4	Jackattack53	1024
5	Mr_Byzantine	266
6	Spaghettatron	224
7	McCakeAh	204
8	U_Mos_	192
9	k_ce	132
10	craaaash	128
11	milltesco	66
12	EveryonesUncle	65
13	Fullbit_	64
13	Penguinllama517	64
15	cutelilreno	43
16	Yamdalorian	31
17	robonya_	25
18	Pandarus_	24
19	Manaateee	21
20	gamerlord1324	3
21	Lez_	2
22	_witch_craft_	1
22	Reneedium	1
22	Buuck_	1
22	pixelviolin	1
