rank	username	minecraft:dropped/minecraft:birch_trapdoor
1	500am	1260
2	Spacewardharpy7	877
3	hollowww	564
4	kekhon	366
5	loveseeker	142
6	thewindmillman	105
7	livingdaydreams	78
8	eitanzaki	65
9	noam464	64
10	CoffeeNoir	48
11	_Nuf	36
12	lordpipe	35
13	Merv__	32
13	NatrixxddxYT	32
15	Di_infiri	26
16	KarlKaek	24
17	thescout7	20
18	Werbe	18
19	Akoot_	17
19	stavgod	17
19	jnp_gaming	17
22	redikul	14
23	Smoke____	13
24	ShedJr_	12
25	lillips	11
25	Frozil12	11
27	smarticuno	10
27	Rebytre	10
29	Powowowow	9
30	Franco093	7
30	IAmTheWalrus910	7
32	El_Jalapeno	6
33	_Virify_	5
34	Tommhh	4
34	SaucyDark	4
34	Malorn_Aetherius	4
34	jcool7	4
38	RebelAndroid	3
38	beeperbeeper5	3
38	Rumpletaezer	3
38	Hyp3rion_	3
38	Sky_light_KING	3
43	pintsizedrogue	2
43	Elprone266	2
43	Incinere	2
43	T045RTY	2
43	Mahoose	2
43	joethahobo	2
43	ProfessorBee	2
43	mimbo1211	2
43	epiksk8erduck	2
43	wrinkledpiglet	2
43	ToastedGamingYT	2
43	yulgur1	2
43	yatsuta	2
43	Kowcio_	2
43	cichy096	2
43	BreadBacon	2
43	kinas45y5	2
60	Groovy_MoonBird	1
60	Iagoku	1
60	Dedalus36	1
60	Wooptey	1
60	rarrq	1
60	Fullut	1
60	UncreativeArtist	1
60	NotTrixi	1
60	Uzbeki_John	1
60	Poppycop	1
60	CollinMH06	1
60	MangoTheFish	1
60	sxc_	1
60	The_Quack_Dealer	1
60	HellsSponge	1
60	Deerfoot	1
60	DanTheBuilderino	1
60	JosephCW	1
60	Eraxa	1
60	YungMaki	1
60	djancak	1
60	lcvezra	1
60	MilleGrug	1
60	Hermanni__	1
60	oxfordschool	1
60	EcksD	1
60	little_dUki	1
60	Enderslayerxz3	1
60	UrbanPlanner1978	1
60	TechnoNinja64	1
