rank	username	minecraft:dropped/minecraft:redstone
1	Hyp3rion_	1502644
2	noam464	344359
3	Fuad_R	80934
4	thewindmillman	55748
5	Jackattack53	54213
6	Blaiku	34619
7	Spacewardharpy7	28641
8	hanaryheatwave	26206
9	_Nuf	24690
10	Di_infiri	20633
11	EcksD	18126
12	Eczbek	10544
13	eitanzaki	9871
14	The11thDoctor	9187
15	fade_emerge78823	5018
16	PigDab	4316
17	TechnoNinja64	4303
18	h2p_emrld	3811
19	Kowcio_	3213
20	KarlKaek	2970
21	Njensen7	2763
22	_i_ERROR_i_	2547
23	lordpipe	2416
24	Werbe	2396
25	Ryan_GEMS	2390
26	beeperbeeper5	2277
27	xzvu	2186
28	UncreativeArtist	2172
29	mihimihimihi	2073
30	thescout7	2065
31	elliebelle107	2002
32	Jiminbub	1970
33	Kubelz	1924
34	Lez_	1822
35	__tomato	1705
36	silverpopcorn	1693
37	MoistMicrowave	1609
38	Bumpy419	1569
39	TheSandwhich_	1521
40	ConnorDanky_	1491
41	Yamdalorian	1458
42	surfinggiraffejp	1452
43	TheBananaKat	1424
44	Groovy_MoonBird	1322
45	Frozil20	1292
46	Smashic	1246
47	voiding_	1237
48	fluddd	1232
49	lotarp	1198
50	EMC_	1191
51	Blu3beast	1174
52	BreadBacon	1161
53	Xclax101	1156
54	Enderxz3	1144
55	yheece	1100
56	i2f8x4h8ro	1079
57	NameGenerat0r	1035
58	diamondgolem35	1016
59	Tyrannosplart	1015
60	6king6colt6	944
61	Meatlaugh	935
62	livingdaydreams	933
63	Sabby65	896
64	T045RTY	845
65	intropass	844
66	Saucepeh	824
66	HellsSponge	824
68	platinumzero	816
69	Spenduh	805
70	YungMaki	797
71	Akoot_	783
72	Bak3dPotater	781
73	Mr_Sun15	769
74	epiksk8erduck	733
75	XboxPanda	728
76	Skippeh	717
77	bloomkieren	713
78	BomberBoi69	711
79	PazinGaming	704
80	skitzxo	692
81	KevinLevrone9983	687
82	Nekomin0	683
83	Niklas20114552	669
84	Ecplosive	656
85	yulgur1	651
86	RadarHz	623
87	k_ce	620
87	Shortest_Man	620
89	501g	619
90	MrShojo	615
91	Paintz	603
92	Masssonnn	589
93	Nicserso	580
94	fffMike	575
95	C0oOK13M0N5T3R	568
96	Powowowow	564
97	vandmanden	563
98	I_Am_Mushkin	554
98	annebolyn	554
100	TheSecondLord	551
101	pixelviolin	544
102	SuperPooch06	541
103	censorsheep	538
104	Fullut	520
105	Blackberry1310	518
105	Steelynan	518
107	MunkaKris	517
108	lava124	512
109	kekhon	502
110	Killercatty78	495
111	TheEnderMan548	491
112	Xalithia	489
113	Strangemonkey71	488
114	trexgb	487
115	Katthaj	481
115	MovingFish7	481
117	Krowuss	477
118	Elastiq	470
119	Jimb0nat0r	467
120	HAIRYCLOUD626	465
121	Airem_Core	460
122	wezzzi	457
123	12Magner05	451
124	lizardfightclub	450
125	LordBlaze11	449
126	Goat_Man512	445
127	podduszenie	433
127	Zoeyfortnite	433
129	Rumpletaezer	422
130	Manaateee	421
131	1442	419
132	rarrq	413
133	_witch_craft_	408
134	MousePlays	406
135	emreknugrlu	403
136	m_be9	402
137	Segotep999	401
138	Onennon	398
139	Deu_Stew	389
140	Flores991	386
141	Luigipunch989	385
142	NLKBuilder	384
142	fkGrim	384
144	eviltunix	366
145	ougstur	363
146	Skylord_Luke	362
147	FishisTTV	358
148	jnp_gaming	357
149	TheHarryMeister	354
150	Synthoum	352
151	weabis	349
152	2extreeme	348
153	FreakGenius	347
154	ECstardust	343
155	Kakolbus	342
156	xDraggin	341
157	SoosAmongus	335
158	gamerlord1324	334
159	Winklepicker279	333
160	mwrty	332
161	XeroByMyth	331
162	jcool7	330
163	DairyNickel756	327
164	jimintyy	325
165	_Razaria	323
165	wTXop	323
167	Inchef	318
167	killmeiamtraitor	318
169	OreTheBear	312
169	Wowful	312
171	Kronos42	308
171	crashomon	308
173	AlexxO_o	306
173	gustarlep	306
175	Mahoose	305
176	masskedman	299
177	gabukun_	296
177	SammiWolfGirl	296
179	yaboo88	294
180	luseis	291
181	_k2x	288
182	fr0stss	286
183	paranoid_plant	280
184	_Dean_123	275
184	Lord_Jord	275
186	Chromary	273
187	NYJ	272
188	Cocoamallows	270
189	gcaisawesome	269
190	TheWildMateo	267
191	myaccountwasgone	265
191	Alteriity	265
193	SaucyDark	263
194	Tjhodskins19	260
195	Prismyst	257
196	goldyx	255
197	ShedJr_	254
198	blackeemperor	252
199	SkateboardR6	251
200	Dakar_	250
201	audiocracked	249
202	NieToksikpl	246
202	MilleGrug	246
204	Reamdin	241
205	IamCL4SSY	240
206	sp00ky_ghost977	239
207	RobotMinion101	235
208	bigstankyy	234
209	Froste131	231
209	Cellcorgi649	231
211	stavgod	230
212	500am	228
212	NotKaden_	228
214	MuffinManzz	221
214	elicobnoah	221
214	Nargotah	221
217	BadenStayFly	220
217	SteveCraftBlocks	220
217	NomadicRobin_	220
220	jewbacaman	218
221	MrKrabOnCoke	217
222	groofles	210
222	THEKINGLyric10	210
222	NATE_the_HALO	210
225	ElectricDragon81	208
226	Kyrum2169	207
227	xxPipperDipperxx	206
228	hcb238	205
229	NotP0tato	203
230	WyngGoy	202
231	Rich_Kat	201
232	Soap_Bender	200
233	Galactic_Badger	199
234	HUNTERmaun	198
234	EveryonesUncle	198
236	Luminad3	197
237	StarCookiees_	194
237	_Mythic____	194
239	oreee	193
240	EdGalbraith	189
241	JMK208	188
242	NinjaKnifeKill	186
243	jacxhadow	185
243	PlzNoBM	185
245	Awyrlas	184
246	00000000-0000-0000-0009-01ff0c3e5e4f	180
247	ScootOfBoot	179
248	set67	178
249	shrimp_flips	177
249	Travka100	177
251	Blamphe	176
252	_TCARREIRA_	174
253	JETrotter	170
253	zToasty69z	170
255	QuiCreans	169
255	RyuNeko932000	169
257	Incinere	167
258	lorpus	166
259	Maenara	165
259	33sudo	165
259	Kubeusz2010	165
262	BoraMC	164
263	ooga47	163
264	pintsizedrogue	162
264	Franco093	162
264	TheDankPlatypus	162
267	Mr_Froxy	159
268	oscminus	158
269	sammidk	155
270	Vizzoid	152
270	FelixPSY375	152
272	BigBootyHudge	150
273	Avrelion	148
273	ApophisNova	148
273	KliBeast21	148
273	geekbird	148
273	non089	148
273	MyNamaSheff	148
279	LilLizardWizard	147
279	bndo	147
