rank	username	minecraft:dropped/minecraft:stone_pickaxe
160	KlausVonStiglitz	2
160	ChocolatePepsi	2
160	madderfall	2
160	n0qtrnL	2
160	JESS_THE_RERE	2
160	GlitchMixed	2
160	Dooinfe	2
160	The_Skramz	2
160	ewpunk	2
160	MAns_44	2
160	Jamstroxian	2
160	Blu3beast	2
160	censorsheep	2
160	JoCoLi	2
160	deerm	2
160	Yahir091	2
160	HeyGoat	2
160	monky_irl	2
160	bndo	2
160	SevenMELIODAS	2
160	Jij0	2
160	somegirl12_	2
160	alkrie	2
160	Bawbman	2
160	Chuglyfe	2
160	Moetis	2
160	SunsetwolfGG	2
160	Soffbord	2
160	SprinklerMan	2
160	ScarmedLeft	2
160	Apicomplexa	2
160	Miko_Fullbuster	2
160	MyNamaSheff	2
160	Powowowow	2
160	vandmanden	2
160	camando92	2
160	zmpeg	2
160	JayToe	2
160	h2p_emrld	2
261	SaltineDream	1
261	Bruh77	1
261	Jovaphobic	1
261	pintsizedrogue	1
261	Batoser	1
261	Thaumatarge	1
261	jjettii	1
261	Vryistal	1
261	Matemaks2137	1
261	Diamondpanda4	1
261	Bandito_Roamer	1
261	elicobnoah	1
261	heysushii	1
261	Stevielukas05	1
261	SyK7	1
261	Ninzyyy	1
261	gizmo98	1
261	diminub	1
261	BakersBanchOf	1
261	dudcreeper	1
261	Cowison	1
261	Paint	1
261	NibPicker	1
261	Killswitch_RW	1
261	jspwn	1
261	BoopDoop_123	1
261	Lapbottom	1
261	Azorathum	1
261	shineh10	1
261	Mocha_Mug	1
261	Ilinca_Io	1
261	Tommhh	1
261	jpoxman	1
261	numbra	1
261	Begformurrcy	1
261	ergoalias	1
261	ExtraDumb	1
261	lwyl	1
261	ImpavidArcher	1
261	elementorix	1
