rank	username	minecraft:dropped/minecraft:cobweb
1	500am	1325
2	lordpipe	714
3	00000000-0000-0000-0009-01ff0c3e5e4f	590
4	joethahobo	335
5	FreakGenius	317
6	Snowflowe	256
7	Hyp3rion_	245
8	pintsizedrogue	208
9	luseis	202
10	Ezekson	192
11	AdmiralSmoke	172
12	Manaateee	120
12	EcksD	120
14	noam464	109
15	kekhon	108
16	Frozil20	89
17	Zythose	86
18	Werbe	78
19	Jackattack53	75
20	Mahoose	64
20	m_be9	64
20	oscminus	64
20	claivin	64
20	YungMaki	64
25	gcaisawesome	57
26	PeteO1995	53
27	Ecplosive	51
28	MelodyGaysharks	48
29	SirPiccardo	41
29	MousePlays	41
31	beeperbeeper5	36
32	thewindmillman	33
33	fr_ser	32
33	00000000-0000-0000-0009-01fc796cc078	32
35	lillips	26
36	Rumpletaezer	24
37	SammiWolfGirl	21
38	Spacewardharpy7	13
39	xzvu	12
40	Blackberry1310	10
40	NameGenerat0r	10
40	Kura2218	10
43	SellyZ	9
44	Huwulling	7
45	RebelAndroid	5
45	T045RTY	5
45	Lez_	5
45	LeonelSalamanca	5
49	Kowcio_	4
50	Bumpy419	3
50	mihimihimihi	3
50	monky_irl	3
50	Vellu21	3
54	q_wq	2
54	kars0n	2
54	ApophisNova	2
54	MyNamaSheff	2
58	SyntheticSurgeon	1
58	TheSecondLord	1
58	_Dean_123	1
58	HellsSponge	1
58	_i_ERROR_i_	1
58	CattSoup	1
58	TechnoNinja64	1
