rank	username	minecraft:dropped/minecraft:bedrock
1	beeperbeeper5	4
2	EcksD	3
3	ImpavidArcher	1
3	kekhon	1
3	Di_infiri	1
3	Akoot_	1
3	Blu3beast	1
3	Groundler	1
