rank	username	minecraft:dropped/minecraft:end_stone_brick_wall
1	thewindmillman	34
2	Spacewardharpy7	13
3	lordpipe	10
4	12Magner05	5
4	HesDemonPants	5
6	iSammael	3
7	Blaiku	2
