rank	username	minecraft:dropped/minecraft:flowering_azalea_leaves
1	hanaryheatwave	460
2	Manaateee	258
3	Hyp3rion_	150
4	eitanzaki	132
5	MineMaster0012	76
6	EcksD	63
7	Huwulling	42
8	Kowcio_	32
9	Segotep999	30
10	Mr_Byzantine	24
11	pintsizedrogue	22
11	Nicserso	22
13	Jackattack53	17
14	Inchef	8
14	AdmiralSmoke	8
16	ganyuganyu	7
17	luseis	6
17	00000000-0000-0000-0009-01ff0c3e5e4f	6
19	Steelynan	5
20	Alteriity	2
20	Mahoose	2
20	Prismyst	2
20	Sleepy_Time_	2
20	thewindmillman	2
25	EMC_	1
25	Frozil20	1
25	ImpavidArcher	1
25	Lez_	1
25	Mattesco	1
25	AlexxO_o	1
25	Dakar_	1
25	Soplight	1
