rank	username	minecraft:dropped/minecraft:cherry_sign
1	skitzxo	27
2	Lez_	19
3	lordpipe	6
4	Tersea_	3
5	pintsizedrogue	2
5	pretty_pink_reno	2
5	Synthoum	2
5	StarCookiees_	2
5	Kowcio_	2
10	SteveCraftBlocks	1
10	Jackattack53	1
10	SpigulGyro	1
