rank	username	minecraft:dropped/minecraft:mossy_stone_brick_slab
1	Crowman1	177
2	CattSoup	74
3	Merv__	64
4	Ezekson	10
5	FreakGenius	9
6	_witch_craft_	8
7	500am	7
7	Pumpkin_P_Patch	7
9	Eraxa	5
10	EMC_	3
10	beeperbeeper5	3
10	Comma__	3
10	Segotep999	3
14	Bandito_Roamer	2
14	fade_emerge78823	2
14	Kowcio_	2
14	Kubeusz2010	2
14	ConnorDanky_	2
14	AltnumberF4	2
20	Apollo_993	1
20	robertsnose	1
20	Flores991	1
20	ccormacs	1
20	Secret_Canary	1
20	excelsionprime	1
20	Dali1465	1
20	noam464	1
20	prizm_	1
20	thewindmillman	1
20	Silvo614	1
20	monky_irl	1
20	UltraZombie	1
20	HesDemonPants	1
