rank	username	minecraft:dropped/minecraft:lectern
1	eitanzaki	84
2	Lez_	65
3	Manaateee	64
4	noam464	48
5	FreakGenius	40
6	pintsizedrogue	21
7	lordpipe	16
8	Merv__	14
8	Historical_Sand	14
8	AdmiralSmoke	14
11	Jackattack53	12
11	Spacewardharpy7	12
13	beeperbeeper5	11
13	ConnorDanky_	11
15	Di_infiri	10
15	Hyp3rion_	10
15	Snowflowe	10
15	JoCoLi	10
15	stavgod	10
20	SteveCraftBlocks	8
20	Tyrannosplart	8
22	kekhon	7
22	The_slideV3	7
22	HellsSponge	7
25	EcksD	6
26	Smashic	5
26	AlexxO_o	5
26	YungMaki	5
26	TechnoNinja64	5
26	00000000-0000-0000-0009-01ff0c3e5e4f	5
31	H0UNDFRMH3LL	4
31	Mahoose	4
31	mattybeewrapss	4
31	ProfessorBee	4
31	Inchef	4
31	Druid95	4
31	PlasticOtari	4
31	JayToe	4
39	ImpavidArcher	3
39	joethahobo	3
39	XboxPanda	3
39	luseis	3
39	Blu3beast	3
39	Groundler	3
39	djancak	3
39	FishisTTV	3
47	AuroraValkyrie	2
47	diamondgolem35	2
47	T045RTY	2
47	ShedJr_	2
47	jessewegottacook	2
47	w3nd3lbo3	2
47	DirtyDalle	2
47	Blackberry1310	2
47	Comma__	2
47	thescout7	2
47	ROY4LE	2
47	mariominejedi	2
47	thewindmillman	2
47	PigDab	2
47	IamCL4SSY	2
47	Lord_Jord	2
47	EveryonesUncle	2
47	Quaintster	2
47	MightyWertu	2
47	Blaiku	2
47	MakeHistory157	2
47	2blox_	2
69	k_ce	1
69	Mr_Byzantine	1
69	Frozil20	1
69	Alteriity	1
69	301851	1
69	MrExplorer	1
69	excelsionprime	1
69	trixterrx	1
69	WET_WET_WET	1
69	Skylord_Luke	1
69	Werbe	1
69	Inbefour	1
69	Lord_Zacler	1
69	_Bguette_	1
69	LexMakesHistory	1
69	Fuad_R	1
69	Tap2304	1
69	Racengan	1
69	Hisiste	1
69	_Meow_Mix	1
69	Kowcio_	1
69	Soplight	1
69	ediballbearings	1
69	xzvu	1
69	SammiWolfGirl	1
69	jcool7	1
69	anbbang	1
69	Lord_Lollo	1
69	Nicserso	1
69	Jimb0nat0r	1
69	xolstoi	1
