rank	username	minecraft:dropped/minecraft:beef
1	Njensen7	2319
2	El_Jalapeno	1272
3	noam464	481
4	Blaiku	405
5	Xclax101	391
6	ediballbearings	281
7	TechnoNinja64	259
8	eitanzaki	242
9	Bumpy419	239
10	I_Am_Mushkin	199
11	Alteriity	197
12	k1ngGilgamesh	192
13	Meatlaugh	156
14	Marbz_	148
15	vandmanden	142
16	Kowcio_	135
17	m2wa	128
17	Toriankel	128
19	m9_meltdown_	126
20	_i_ERROR_i_	124
21	Snowflowe	121
21	__tomato	121
23	Akoot_	113
24	Groovy_MoonBird	106
25	DairyNickel756	96
26	beeperbeeper5	94
27	Historical_Sand	87
27	kekhon	87
29	_witch_craft_	84
29	Spacewardharpy7	84
31	thewindmillman	82
32	_flud	78
33	FreakGenius	74
34	jcool7	69
35	trixterrx	66
35	IamCL4SSY	66
37	Hyp3rion_	65
38	bra1nbrain	64
38	bloodbiter	64
38	MattieHD	64
38	corvidpartyfor6	64
38	VentiHilton	64
43	Flores991	54
43	_Dean_123	54
43	SellyZ	54
46	Studio4x32	51
46	SUN_DREAM	51
48	thescout7	47
48	Nyxiom_	47
50	Skylord_Luke	46
51	Blackberry1310	39
51	lordpipe	39
53	JustinRee	38
54	500am	36
55	Seyaboy	35
55	Kyrum2169	35
55	Skippeh	35
58	WET_WET_WET	34
59	NatalieTW	33
60	joethahobo	32
60	fallingemma	32
60	luseis	32
60	C0oOK13M0N5T3R	32
64	oscminus	31
64	EveryonesUncle	31
64	Ezekson	31
67	Bandito_Roamer	30
68	Mahoose	29
68	Di_infiri	29
68	doublemaki	29
71	shineh10	28
72	MovingFish7	27
73	Apollo_993	26
74	PhantomsGhost_	24
74	12Magner05	24
74	Sophia_Irene	24
74	SonicRainBow_	24
74	Onennon	24
74	MS_Pryxx	24
80	Lez_	23
80	Racengan	23
80	djancak	23
83	Vizzoid	22
83	Awyrlas	22
83	wrgates99	22
83	wezzzi	22
87	Frozil20	21
87	ImpavidArcher	21
87	HellsSponge	21
90	Kuragari_	20
90	EcksD	20
92	titanlax	19
92	intropass	19
92	PigDab	19
92	ougstur	19
92	censorsheep	19
97	SyntheticSurgeon	18
97	TheDiamondCG	18
97	SPUDonSTEROIDS	18
97	masskedman	18
97	Matorz	18
97	es0th	18
103	RobotMinion101	17
103	Groundler	17
103	Synthoum	17
106	m_be9	16
106	Fullut	16
106	redikul	16
106	AJplaysMC_	16
106	Rebytre	16
106	TheSeismicDuck	16
106	Enderxz3	16
106	Yamdalorian	16
114	Xalithia	15
114	Kura2218	15
116	SaucyDark	14
116	teqilas	14
116	__TheNorseMan__	14
116	victorLIE	14
116	DTwenty	14
116	Tyrannosplart	14
116	Cyntrical	14
123	Lazy_geniusig	13
123	rarrq	13
123	Jackattack53	13
123	Manaateee	13
123	CheifJumbo	13
128	Reamdin	12
128	Comma__	12
128	Inchef	12
128	WarMachina	12
128	XeroByMyth	12
128	dvlle	12
128	PortlyPete69	12
135	RoskobiOne	11
135	mymayowasgone	11
135	Raspberry_Sodas	11
135	Secret_Canary	11
135	Kakolbus	11
135	danio888	11
135	LuvLuvLove	11
142	k_ce	10
142	CoffeeNoir	10
142	Morgf	10
142	TheSecondLord	10
142	Tiberonus	10
142	RIPB0ZO	10
142	xambsam	10
142	fxiryglitch	10
142	Blu3beast	10
142	Cache3	10
142	IdeallyGrey	10
142	xzvu	10
142	cichy096	10
142	TwinTowerV2	10
156	soundad	9
156	diamondgolem35	9
156	Huwulling	9
156	AngalexikCZ	9
156	Karbl	9
156	MightyWertu	9
156	2blox_	9
156	Jordan_R	9
164	_Huge_Male_	8
164	ECstardust	8
164	EMC_	8
164	T045RTY	8
164	iElijahi	8
164	lorpus	8
164	epiksk8erduck	8
164	BRICS	8
164	emreknugrlu	8
164	ZeaBaron	8
164	pixelviolin	8
164	EtherealEspresso	8
164	_TCARREIRA_	8
164	robonya_	8
178	Jovaphobic	7
178	Kronos42	7
178	Swexti	7
178	Otto_chan	7
178	_Nuf	7
178	leaf26	7
178	excelsionprime	7
178	SharpDev	7
178	gcaisawesome	7
178	Nekomin0	7
178	KingMatthew506	7
178	Nicserso	7
178	trexgb	7
191	JewelIssac	6
191	DinoDoctor_	6
191	Batman922	6
191	Ozixar	6
191	Scathra	6
191	AnnieBathory	6
191	Werbe	6
191	St4nLe7	6
191	natajimi	6
191	monky_irl	6
191	_Ruzeeq_	6
191	DontHaveKick	6
191	SpaceTurtleOX	6
191	Sral7	6
205	KarlKaek	5
205	RebelAndroid	5
205	Rorrofighter	5
205	Sleepy_Evelyn	5
205	Pelbo	5
205	ARandomHedge	5
205	Zaridey	5
205	BlueZabu	5
205	BeastyBoi954911	5
205	hanaryheatwave	5
205	Arceus1975	5
205	TheWildMateo	5
205	ClemenPine	5
205	Lord_Jord	5
205	Joestra	5
205	M1sterManGuy	5
205	Dakar_	5
205	mafiKiwi	5
205	SkateboardR6	5
205	TheEnderMan548	5
205	BlankityMcBlank	5
205	annoyingenderman	5
205	UltraZombie	5
205	CalebDHawk	5
205	hermmm_	5
205	EngagedGrub41	5
231	KingFaenor	4
231	Ryan_GEMS	4
231	Saltymart	4
231	alcremiie_	4
231	BlancoFlaco	4
231	Wooptey	4
231	Archsam	4
231	ratglock	4
231	Chickenchaser2	4
231	MinttyFressh	4
231	cyrusisntgay	4
231	eviltunix	4
231	Juansinmiedo18	4
231	shadowthemonkey	4
231	yheece	4
231	yaboo88	4
231	Mattesco	4
231	zToasty69z	4
231	XxCookiequeenxX	4
231	AspenLightVT	4
231	DanTheBuilderino	4
231	GravitySaint	4
231	DarkLawD	4
231	Hisiste	4
231	mihimihimihi	4
231	AvaRosey	4
231	Lord_Doob	4
231	WyngGoy	4
231	Vetomo8000	4
231	layabout100	4
231	Eraxa	4
231	alkrie	4
231	MC_Skribble	4
231	fffMike	4
231	Lord_Lollo	4
231	Jimb0nat0r	4
267	pintsizedrogue	3
267	ItsColin11	3
267	q_wq	3
267	powercas_gamer	3
267	Bad_At_Names_Guy	3
267	Sabby65	3
267	lotarp	3
267	TarynBubs	3
267	fr0stss	3
267	AlejandroPH1	3
267	Nicky_H225	3
267	Hetti301	3
267	BINKENSTOCK	3
267	Flapjacker687	3
267	mwrty	3
267	emrekn	3
267	Touched_Bread	3
267	XboxPanda	3
267	M_Patata	3
267	breadbowlgamer	3
267	SuperPooch06	3
267	Destroyer112221	3
267	Krowuss	3
267	OneLessChromosom	3
267	SvenskaSara	3
267	bean__salad	3
267	Inconvenionce	3
267	ApophisNova	3
267	Fatimus_	3
267	Btabtab	3
267	D0RMMAMU	3
267	goldyx	3
267	AlexxO_o	3
267	Mr_Froxy	3
