rank	username	minecraft:dropped/minecraft:diorite_stairs
1	EMC_	126
2	Spaghettatron	60
3	milltesco	36
4	SaucyDark	16
5	Decaying_Lotus	12
5	es0th	12
7	k_ce	8
7	Jackattack53	8
9	FreakGenius	7
9	Pumpkin_P_Patch	7
9	Sheldor097	7
12	MrExplorer	6
13	Frozil20	5
13	beeperbeeper5	5
13	Eraxa	5
16	lotarp	4
16	Tiberonus	4
16	Hyp3rion_	4
16	Kowcio_	4
16	Soplight	4
21	11Brewer	3
22	Paint	2
22	noam464	2
22	Xclax101	2
22	SvenskaHugo	2
22	TechnoNinja64	2
22	trexgb	2
28	Mahoose	1
28	_p1ta_	1
28	cutelilreno	1
28	tartanboy	1
28	PlasticOtari	1
