rank	username	minecraft:dropped/minecraft:horn_coral_block
1	Blaiku	66
2	Onennon	64
3	EdGalbraith	36
4	Jackattack53	35
5	TheWickedBird	23
6	Skylord_Luke	21
7	Arceus1975	16
8	AspenLightVT	14
9	thewindmillman	13
10	eitanzaki	11
11	AlexxO_o	10
12	noam464	9
13	livingdaydreams	7
13	MattieHD	7
13	Spaghettatron	7
16	T045RTY	6
17	craaaash	5
17	CollinMH06	5
17	Maenara	5
17	Blu3beast	5
21	hm947	3
21	oscminus	3
21	claivin	3
21	Druid95	3
21	Spenduh	3
26	diamondgolem35	2
26	Lez_	2
26	Archsam	2
26	12Magner05	2
26	FreakGenius	2
26	KingMatthew506	2
32	SellyZ	1
32	Hyp3rion_	1
32	Azmodan_246	1
32	Fuad_R	1
32	Spacewardharpy7	1
32	Kura2218	1
32	doublemaki	1
32	Enderxz3	1
