rank	username	minecraft:dropped/minecraft:chorus_fruit
1	thewindmillman	4763
2	Yamdalorian	1853
3	Jackattack53	1062
4	joethahobo	581
5	BlancoFlaco	503
6	ProbsNotNova	448
7	beeperbeeper5	346
8	FreakGenius	282
9	EcksD	268
10	Krowuss	248
11	Jimb0nat0r	208
12	__TheNorseMan__	197
13	TechnoNinja64	176
14	Fullbit_	169
15	__tomato	143
16	kekhon	133
17	AlexxO_o	120
18	T045RTY	102
19	seramalen	101
20	HellsSponge	94
21	12Magner05	88
22	zToasty69z	86
23	ZaneABrain	85
24	_k2x	78
24	lordpipe	78
24	cichy096	78
27	Dogcorn69420	77
28	EKUG	74
29	Arceus1975	73
30	Ryan_GEMS	69
30	Manaateee	69
30	geekbird	69
33	eitanzaki	66
34	Spenduh	65
34	vandmanden	65
36	Rasmanden	64
36	Pumpkin_P_Patch	64
38	SaucyDark	62
38	ElectricDragon81	62
40	noam464	60
40	luseis	60
42	ImpavidArcher	58
42	emreknugrlu	58
44	Ender_Souls	55
45	Mahoose	54
45	Fullut	54
45	avalan64	54
45	HesDemonPants	54
49	Incinere	53
50	Werbe	49
51	Tyrannosplart	48
52	set67	46
53	ProfessorBee	44
54	PhantomsGhost_	42
55	6king6colt6	41
55	PigDab	41
55	Segotep999	41
58	xPixelRainx	39
59	fanofbands101	37
59	Blu3beast	37
61	iSammael	36
62	SteveCraftBlocks	31
63	2blox_	29
64	SuperPooch06	27
64	masskedman	27
66	OreTheBear	26
67	TheSecondLord	22
67	Kowcio_	22
69	Karbl	21
70	RebelAndroid	19
70	m_be9	19
70	RobotMinion101	19
70	PortlyPete69	19
70	jcool7	19
75	I_Am_Mushkin	18
75	Awyrlas	18
75	YungMaki	18
75	Enderxz3	18
79	oscminus	17
79	Spacewardharpy7	17
79	jnp_gaming	17
82	_Razaria	16
82	Prodiginus	16
82	claivin	16
85	Covalents	14
86	Da_Boss_Rani	13
87	Iagoku	12
87	GreedyFern8581	12
89	ECstardust	11
89	epiksk8erduck	11
89	Ezekson	11
92	Frozil20	10
92	gilesmcriles	10
92	Hyp3rion_	10
92	HoldThatPee	10
92	Xclax101	10
92	pixelviolin	10
98	KomputerDude	9
98	Di_infiri	9
98	ApophisNova	9
98	MyNamaSheff	9
102	pintsizedrogue	8
102	MinttyFressh	8
102	yheece	8
102	MinerDec	8
106	Myszoaz	7
106	Saucepeh	7
106	Masssonnn	7
106	EdGalbraith	7
106	Kura2218	7
106	elliebelle107	7
106	MissCeleste7	7
113	Gryglu583	6
113	NameGenerat0r	6
115	Aavermu	5
115	Boipl	5
115	Warlord324	5
115	Jordan_R	5
119	Alteriity	4
119	fkGrim	4
119	Quaintster	4
119	fluddd	4
119	mihimihimihi	4
119	MilleGrug	4
119	Kubeusz2010	4
126	Groovy_MoonBird	3
126	Batman922	3
126	Tjhodskins19	3
126	Onennon	3
126	Mr_Froxy	3
126	_Karmaa	3
126	Nicserso	3
126	annebolyn	3
134	Jovaphobic	2
134	dabloons	2
134	MOSS000	2
134	Secret_Canary	2
134	500am	2
134	crying_wolf_13	2
134	xxPipperDipperxx	2
134	gcaisawesome	2
134	Icyyyyy	2
134	legal_tax_evader	2
134	BuzzyBeeBoi	2
134	ConnorDanky_	2
146	Lez_	1
146	gaziter10	1
146	rarrq	1
146	Smashic	1
146	surfinggiraffejp	1
146	M_Patata	1
146	Windo_licker	1
146	KingNightHawk	1
146	Maenara	1
146	ADEXTV	1
146	MAns_44	1
146	Hisiste	1
146	MovingFish7	1
146	MasterNueve	1
146	Razzgriz	1
146	Jij0	1
146	Soplight	1
146	hermmm_	1
146	Zoeyfortnite	1
