rank	username	minecraft:dropped/minecraft:calcite
1	Frozil12	109284
2	thewindmillman	6708
3	Hyp3rion_	1556
4	Smashic	1000
5	MilleGrug	973
6	Rebytre	868
7	diamondgolem35	658
8	UCP_TheKingK	475
9	Enderslayerxz3	401
10	beeperbeeper5	347
11	Mahoose	324
12	EcksD	321
13	Yahir091	235
14	500am	110
15	EMC_	89
16	joethahobo	78
17	SvenskaHugo	73
18	Dan_Scha	69
19	Auseawesome	66
20	YungMaki	64
21	hm947	49
22	Kkanot	46
23	TheSecondLord	38
24	Masssonnn	36
24	Weepingbiel	36
26	Legendosh	33
27	BINKENSTOCK	27
28	Da_Boss_Rani	20
28	dartwaffle	20
30	Spenduh	18
31	pintsizedrogue	15
32	AuroraSkies	14
33	Valoth	12
34	12Magner05	11
35	00000000-0000-0000-0009-01f898304150	10
36	Jonte0599	9
37	yulgur1	8
38	_NieToksikpl_	7
39	TerraVl	6
40	Chickenchaser2	5
40	Not_Insom	5
40	Spacewardharpy7	5
40	WYFYoyo	5
40	coobert42	5
45	MSK__	4
45	SteveCraftBlocks	4
45	smarticuno	4
45	fw3xywashere	4
45	Jiminie	4
50	CyrusIsTired	3
50	noam464	3
50	Segotep999	3
50	Hermanni__	3
50	PlasticOtari	3
55	DarkS0L	2
55	Xi_J1nping	2
55	Smoke____	2
58	gcaisawesome	1
58	PigDab	1
58	EveryonesUncle	1
58	WeebleSock	1
58	fluddd	1
58	lordpipe	1
58	IdeallyGrey	1
