rank	username	minecraft:dropped/minecraft:heart_of_the_sea
1	12Magner05	26
2	EcksD	18
3	thewindmillman	8
4	k1ngGilgamesh	7
5	funeralhome	5
5	kekhon	5
5	noam464	5
5	gabriels543	5
5	KermitTheKripple	5
10	Mahoose	4
10	rarrq	4
10	Zaridey	4
10	Blaiku	4
10	Segotep999	4
10	_TCARREIRA_	4
10	Miko_Fullbuster	4
10	Nicserso	4
18	youhjjhhhjj	3
18	fred870d	3
18	Smoke____	3
21	Groovy_MoonBird	2
21	TildaAndrea	2
21	MrKrabOnCoke	2
21	beeperbeeper5	2
21	mwrty	2
21	Jonte0599	2
21	chipklip	2
21	DemTechAlpha	2
21	claivin	2
21	Xclax101	2
31	Vryistal	1
31	Menthas	1
31	nataliecool	1
31	ItsColin11	1
31	teslawolf38	1
31	diamondgolem35	1
31	ImpavidArcher	1
31	Sna_Ke	1
31	Alteriity	1
31	joethahobo	1
31	301851	1
31	nocturne78	1
31	FirsTimeGamingTV	1
31	Vizzoid	1
31	Blackberry1310	1
31	jacxhadow	1
31	ThePoliteG	1
31	G1ldor	1
31	Jackattack53	1
31	Chromary	1
31	Rumpletaezer	1
31	Nyxiom_	1
31	WhosJPG	1
31	Maenara	1
31	TheTrueClipse	1
31	EveryonesUncle	1
31	jambvds	1
31	Toiton	1
31	Meatlaugh	1
31	Blu3beast	1
31	MovingFish7	1
31	stavgod	1
31	YungMaki	1
31	Juh1s	1
31	lcvezra	1
31	SammiWolfGirl	1
31	obzii	1
31	jcool7	1
31	Kubeusz2010	1
31	Skippeh	1
31	Legendosh	1
31	Oxygen16	1
31	_Dri_	1
31	Faart	1
