rank	username	minecraft:dropped/minecraft:coal
1	thewindmillman	901395
2	Spacewardharpy7	453061
3	EcksD	51356
4	noam464	37166
5	jnp_gaming	17538
6	Frozil12	17237
7	Segotep999	7730
8	lillips	5118
9	_Nuf	3000
10	eitanzaki	2489
11	h2p_emrld	2199
12	TechnoNinja64	2101
13	Blaiku	2052
14	Snowflowe	1831
15	Di_infiri	1816
16	YungMaki	1683
17	lotarp	1592
18	Smoke____	1564
19	silverpopcorn	1526
20	alderban107	1518
21	stahouo	1491
22	beeperbeeper5	1434
23	chipklip	1360
24	PigDab	1241
25	The11thDoctor	1240
26	thescout7	1084
27	kekhon	1056
28	mwrty	970
29	Chromary	861
30	vandmanden	858
31	UncreativeArtist	819
32	BigCronkin	783
32	lordpipe	783
34	Groovy_MoonBird	767
34	Sky_light_KING	767
36	livingdaydreams	724
37	Xclax101	718
38	Enderslayerxz3	699
39	rarrq	687
40	Freak_Genius	686
41	Powowowow	677
42	SkateboardR6	658
43	Racengan	640
44	Fullut	633
45	Bumpy419	630
46	NameGenerat0r	629
47	HellsSponge	624
48	Rich_Kat	610
49	diamondgolem35	601
50	RodSerlingCringe	600
51	trexgb	584
52	SuperPooch06	572
53	Reamdin	550
54	awesomeoneme	548
55	Menthas	531
56	MeetTheWollo	515
57	Akoot_	509
58	gabriels543	504
59	SaucyDark	497
60	audiocracked	483
61	Kowcio_	481
62	gcaisawesome	467
63	FelixPSY375	459
64	Barlycorn	451
65	VentiHilton	445
66	Kyrum2169	415
67	GlitchyPlate810	401
67	Quotary	401
69	SSytex_X	400
70	TheSecondLord	388
71	pintsizedrogue	379
72	Miko_Fullbuster	375
73	fred870d	371
74	masskedman	367
75	fluddd	360
76	Zoeyfortnite	352
77	paranoid_plant	350
78	set67	347
79	fkGrim	346
80	Tolhart	333
81	stavgod	330
82	itburb	329
83	jimintyy	324
84	XboxPanda	323
85	Ardennes	322
86	NotKaden_	320
87	SpaceGrenadier	317
88	kinas45y5	313
89	EcksDofficial	306
90	I_Am_Mushkin	304
91	Razzgriz	297
92	Steelynan	292
93	xo_Marren_xo	288
93	Wowful	288
95	Rasmanden	285
96	Hyp3rion_	284
97	Blackberry1310	270
98	Kakolbus	258
99	Ezekson	252
100	Jiminbub	250
101	NomadicRobin_	249
102	m_be9	247
103	PhantomsGhost_	246
104	Soap_Bender	244
105	Werbe	237
106	Strangemonkey71	235
107	EMC_	234
108	Franco093	231
109	yulgur1	224
110	Mahoose	220
110	Inchef	220
112	hayesey11	214
113	SammiWolfGirl	212
114	iHuntWeeaboos	210
115	Toriankel	203
116	Nicserso	202
117	ogoa	199
118	fw3xywashere	197
119	RobotMinion101	196
119	EveryonesUncle	196
121	_naturell	195
121	Eraxa	195
123	ImpavidArcher	194
123	T045RTY	194
123	Njensen7	194
126	QueenShuvi	192
127	Spenduh	191
128	Jackattack53	187
129	_Bguette_	184
129	The_slideV3	184
131	obzii	180
132	TheDumbHuman	177
133	egglapras	176
133	Rebytre	176
135	Kuragari_	175
135	ThePoliteG	175
135	adiccting01	175
138	smogfrog	173
139	Voxin2K	172
140	Rumpletaezer	171
141	Lord_Jord	168
141	MyNameIsDakar	168
143	Mewar	167
144	wTXop	164
145	cichy096	163
146	gustarbite	160
146	MakeHistory157	160
148	q_wq	156
149	Juh1s	154
150	WET_WET_WET	152
151	Soplight	151
151	oxfordschool	151
153	joethahobo	149
153	__tomato	149
153	PortlyPete69	149
156	NotP0tato	147
157	bigstankyy	145
157	Arceus1975	145
159	emrekn	143
159	SpookyDraggin	143
161	Groundler	142
162	JEWISHBadenBeele	138
163	Base_Tempest	136
163	boog4loo	136
165	Sabby65	135
165	Sral7	135
167	Hpdinosaur	134
167	Hisiste	134
169	fffMike	133
170	Huwulling	132
170	Dreamdbr14	132
172	cwartzo	129
173	SyK7	128
173	Ze1ig	128
173	Stewart32547	128
173	Wooptey	128
173	SUN_DREAM	128
178	the__Reaper4999	127
178	stellarjay	127
180	Megarboh	124
180	Doom_melon	124
180	Quaintster	124
180	laron58	124
184	stuy9	121
185	_KuruKuru	120
186	12Magner05	118
186	Hiryu27	118
