rank	username	minecraft:dropped/minecraft:pufferfish_bucket
1	500am	31
2	noam464	17
3	kekhon	11
4	Akoot_	8
4	Freak_Genius	8
6	Mahoose	7
7	eitanzaki	6
7	thewindmillman	6
7	GlitchyPlate810	6
7	Skippeh	6
11	stahouo	5
12	Ezekson	4
12	Smoke____	4
14	rarrq	3
15	Sleek_Storm_721	2
15	jnp_gaming	2
17	PhantomsGhost_	1
17	Dedalus36	1
17	tsohomie	1
17	Blackberry1310	1
17	12Magner05	1
17	Ardennes	1
17	Fullut	1
17	Motsaro	1
17	Chromary	1
17	Hyp3rion_	1
17	Werbe	1
17	HellsSponge	1
17	AssEatrAndLicker	1
17	Blaiku	1
17	MovingFish7	1
17	Soplight	1
17	PortlyPete69	1
17	oxfordschool	1
17	EcksD	1
17	HesDemonPants	1
