rank	username	minecraft:dropped/minecraft:light_gray_stained_glass
1	thewindmillman	3047
2	Blaiku	1069
3	noam464	840
4	mwrty	697
5	gusstationwerker	297
6	pintsizedrogue	218
7	eitanzaki	200
8	Enderxz3	182
9	Tyrannosplart	110
10	MixerDixer	100
11	ImpavidArcher	86
12	Cowison	78
13	EcksD	72
14	T045RTY	70
14	Legendosh	70
16	Jackattack53	68
17	Arceus1975	64
17	lillips	64
19	fffMike	41
20	xolstoi	39
21	Quotary	28
22	Di_infiri	24
23	The_SlideV5	23
24	Zoeyfortnite	21
25	Mattesco	17
26	Eraxa	16
27	TheSecondLord	10
28	Deathkob	8
28	ConnorDanky_	8
30	Groundler	7
31	Frozil20	6
31	Inchef	6
31	Wowful	6
31	PlasticOtari	6
35	KarlKaek	4
35	CliffEmAll	4
35	PigDab	4
35	MonitorLizards	4
39	beeperbeeper5	3
40	bbrothers_5	2
40	Blackberry1310	2
40	MilleGrug	2
43	Historical_Sand	1
43	SteveCraftBlocks	1
43	500am	1
43	Chromary	1
43	burbankbuilder28	1
43	Smoke____	1
