rank	username	minecraft:dropped/minecraft:dark_oak_fence
1	Freak_Genius	447
2	KingMatthew506	353
3	Groundler	288
4	lillips	266
5	beeperbeeper5	252
6	M_Patata	206
6	MasterNueve	206
8	jcool7	192
9	JoCoLi	150
10	Merv__	134
11	stahouo	124
12	rarrq	82
13	AuroraValkyrie	81
13	kekhon	81
15	Groovy_MoonBird	80
16	Soplight	78
17	FirsTimeGamingTV	77
18	Wowful	72
19	Blackberry1310	71
20	benediktine1	70
20	oxfordschool	70
22	Hyp3rion_	69
23	Leyna3	64
24	TheSecondLord	61
24	Ecplosive	61
24	MilleGrug	61
27	Bandito_Roamer	60
28	Frozil12	58
29	censorsheep	57
30	NameGenerat0r	54
31	YungMaki	50
32	EcksD	48
33	500am	46
34	Xalithia	42
35	Matorz	41
36	eitanzaki	40
37	SaucyDark	39
38	Fullut	38
39	Historical_Sand	37
40	mariominejedi	36
40	Werbe	36
40	Lord_Jord	36
43	noam464	35
44	NomadicRobin_	33
44	Xclax101	33
46	Di_infiri	31
47	burbankbuilder28	26
48	420BreadLizard	24
49	intropass	23
49	EveryonesUncle	23
51	Segotep999	22
52	r123moore	19
53	Dedalus36	18
54	ProfessorBee	17
54	Vellu21	17
56	Chromary	16
57	Bumpy419	15
58	_Karmaa	14
58	Blu3beast	14
58	ayamefag	14
61	Akoot_	13
61	silverpopcorn	13
63	RobotMinion101	11
63	TheOuterCore	11
63	TechnoNinja64	11
66	numbra	10
66	xxPipperDipperxx	10
66	Blaiku	10
66	Dusk_95	10
70	Natty	9
70	loveseeker	9
70	Jiminie	9
70	Njensen7	9
74	ROY4LE	8
74	lcvezra	8
74	2blox	8
77	Stiar	7
77	fluddd	7
77	lordpipe	7
77	PortlyPete69	7
77	MysticalKitty139	7
82	jewbacaman	6
82	TheShyPig	6
82	dezxalo	6
82	chipklip	6
82	MyNameIsDakar	6
82	Ezekson	6
88	ImpavidArcher	5
88	hm947	5
88	Mahoose	5
88	alderban107	5
88	cichy096	5
88	vandmanden	5
88	Smoke____	5
95	KarlKaek	4
95	CoffeeNoir	4
95	joethahobo	4
95	Comma__	4
95	GingerNeutron	4
95	Parcc	4
95	Kynigito	4
95	HellsSponge	4
95	Shogunite	4
95	EtherealEspresso	4
95	Hermanni__	4
95	Zoeyfortnite	4
107	ItsColin11	3
107	AshleeCW	3
107	carloselpapii	3
107	Cryptacity	3
107	YungJakobo	3
107	m_be9	3
107	thescout7	3
107	SuperPooch06	3
107	AlphaWolfPlaysMC	3
107	the__Reaper4999	3
107	Kyrum2169	3
107	SammiWolfGirl	3
107	GlitchyPlate810	3
107	CalebDHawk	3
107	Steelynan	3
122	pintsizedrogue	2
122	JohnnyFyes	2
122	Hpdinosaur	2
122	livingdaydreams	2
122	youhjjhhhjj	2
122	lotarp	2
122	Reamdin	2
122	Nicky_H225	2
122	Megarboh	2
122	SteveCraftBlocks	2
122	Scathra	2
122	mwrty	2
122	NotMeanttoChange	2
122	Jackattack53	2
122	whoaluv	2
122	LAVA129	2
122	fred870d	2
122	DarlaMeow	2
122	Ze_BaronKrigler	2
122	Eraxa	2
122	djancak	2
122	EcksDofficial	2
144	Vryistal	1
144	Tobinator_007	1
144	teslawolf38	1
144	Iagoku	1
144	Euclidoris	1
144	Mercadies	1
144	Khelvoryk	1
144	TheDankPlatypus	1
144	BlueZabu	1
144	Arceus1975	1
144	ApophisNova	1
144	ooga47	1
144	YahooScreen9000	1
144	Hail_the_wombat	1
144	Sky_light_KING	1
144	avalan64	1
144	The_slideV3	1
144	Deerfoot	1
144	Leftsy	1
144	Warlord324	1
144	layabout100	1
144	voiding_	1
144	Kijiki	1
144	MyNamaSheff	1
144	Legendosh	1
144	imaginek1d	1
144	PlasticOtari	1
144	00000000-0000-0000-0009-01f898304150	1
