rank	username	minecraft:dropped/minecraft:observer
1	noam464	60031
2	thewindmillman	8028
3	eitanzaki	4205
4	Mahoose	1289
5	Smoke____	1069
6	Werbe	646
7	EcksD	610
8	thescout7	469
9	lillips	402
10	Blaiku	399
11	Di_infiri	378
12	Nicserso	323
13	Spacewardharpy7	214
14	m_be9	192
15	kekhon	180
16	PigDab	170
17	Akoot_	168
18	EMC_	156
19	Hyp3rion_	105
20	Awyrlas	96
21	FreddyFart	90
22	joethahobo	80
22	Jackattack53	80
24	Blu3beast	66
24	oxfordschool	66
26	Frozil12	65
26	vandmanden	65
28	YungMaki	64
29	jnp_gaming	63
30	Masssonnn	59
31	Freak_Genius	58
32	KG1999	45
33	SteveCraftBlocks	37
34	M_Patata	32
35	Incinere	30
36	sxc_	27
37	JEWISHBadenBeele	25
38	12Magner05	24
39	TechnoNinja64	21
40	xxPipperDipperxx	20
41	DarlaMeow	17
42	beeperbeeper5	15
43	ShedJr_	14
44	AuroraValkyrie	12
45	MyNameIsJobo	11
46	Jahara	10
46	TheSecondLord	10
46	gcaisawesome	10
46	Arceus1975	10
46	__tomato	10
51	EveryonesUncle	9
52	KnightmareD	7
52	SkateboardR6	7
54	Blackberry1310	6
54	Eraxa	6
54	Eczbek	6
57	Elprone266	5
57	gabriels543	5
57	SvenskaHugo	5
60	GravitySaint	4
60	jcool7	4
60	FelixPSY375	4
63	teslawolf38	3
63	T045RTY	3
63	Euclidoris	3
63	__Auspicious	3
63	Soplight	3
63	sebastiensaborio	3
63	Hermanni__	3
63	UrbanPlanner1978	3
71	Merv__	2
71	500am	2
71	r123moore	2
71	eiC_	2
71	UncleDanDan	2
71	lizardfightclub	2
71	HellsSponge	2
71	Racengan	2
71	silverpopcorn	2
71	Cocoamallows	2
71	obzii	2
71	fffMike	2
71	MeetTheWollo	2
71	Zoeyfortnite	2
85	_Virify_	1
85	The_Thund	1
85	PhantomsGhost_	1
85	I_Am_Mushkin	1
85	KarlKaek	1
85	SaucyDark	1
85	carloselpapii	1
85	dopplexd	1
85	Malorn_Aetherius	1
85	Motsaro	1
85	Tjhodskins19	1
85	Snowflowe	1
85	MangoTheFish	1
85	fred870d	1
85	fkGrim	1
85	claivin	1
85	El_Jalapeno	1
85	fluddd	1
85	Hisiste	1
85	pixelviolin	1
85	BlankityMcBlank	1
85	ediballbearings	1
85	Spenduh	1
85	CalebDHawk	1
85	anbbang	1
85	Ezekson	1
85	Jordan_R	1
85	trexgb	1
