rank	username	minecraft:dropped/minecraft:black_terracotta
1	thewindmillman	96090
2	lillips	1128
3	Shogunite	448
4	joethahobo	128
5	Blu3beast	112
6	Spacewardharpy7	95
7	ChocolatePepsi	64
7	JoCoLi	64
9	Paintz	55
10	YungMaki	45
11	Quotary	36
12	EcksD	35
13	Jimb0nat0r	34
14	eitanzaki	18
15	2Stout	15
16	NameGenerat0r	13
17	Myszoaz	9
18	Blackberry1310	8
19	beeperbeeper5	4
19	noam464	4
19	KingMatthew506	4
22	KarlKaek	2
22	shadowthemonkey	2
22	Werbe	2
25	Lez_	1
25	Awyrlas	1
25	Ecplosive	1
25	Hyp3rion_	1
