rank	username	minecraft:dropped/minecraft:brown_bed
1	noam464	9
2	Chromary	6
3	groofles	5
4	FirsTimeGamingTV	2
5	_Huge_Male_	1
5	beeperbeeper5	1
5	MyNameIsJobo	1
5	Leyna3	1
5	Jimb0nat0r	1
5	Yamdalorian	1
