rank	username	minecraft:dropped/minecraft:crimson_planks
1	thewindmillman	281579
2	noam464	279767
3	Hyp3rion_	94024
4	Di_infiri	60272
5	eitanzaki	10865
6	EcksD	10141
7	Blaiku	446
8	Werbe	425
9	beeperbeeper5	389
10	Skylord_Luke	288
11	Lez_	142
12	HellsSponge	134
13	YungMaki	131
14	rarrq	128
15	Manaateee	121
16	PigDab	120
17	Jimb0nat0r	115
18	RebelAndroid	76
19	LeonelSalamanca	69
20	PazinGaming	68
21	weabis	67
22	lillips	64
22	SammiWolfGirl	64
24	cichy096	61
25	ShedJr_	58
26	AdmiralSmoke	54
27	Spacewardharpy7	51
28	k_ce	30
29	pixelviolin	28
30	Kowcio_	24
31	TheShyPig	22
31	Segotep999	22
31	Luigipunch989	22
34	kekhon	20
34	shadowthemonkey	20
36	Zythose	18
36	luseis	18
38	NieToksikpl	16
38	Nicserso	16
38	00000000-0000-0000-0009-01ff0c3e5e4f	16
41	zToasty69z	14
42	NomadicRobin_	12
42	DarlaMeow	12
42	PlasticOtari	12
45	_Mythic____	10
45	Kubeusz2010	10
47	livingdaydreams	9
48	hm947	8
48	_Razaria	8
50	Jackattack53	6
50	Billious	6
50	Rebytre	6
50	TheWildMateo	6
54	MrKrabOnCoke	5
54	Sleepy_Time_	5
56	_Virify_	4
56	Blackberry1310	4
56	r123moore	4
56	F_Uhre	4
56	GooseWithin	4
56	SpacesickPrism	4
56	Steelynan	4
56	Enderxz3	4
64	gustarlep	3
64	EveryonesUncle	3
64	Skippeh	3
67	pintsizedrogue	2
67	T045RTY	2
67	12Magner05	2
67	gcaisawesome	2
67	Lord_Jord	2
67	Dakar_	2
67	MilleGrug	2
67	ConnorDanky_	2
67	HesDemonPants	2
76	Wooptey	1
76	ITDV	1
76	jacxhadow	1
76	Afinnity	1
76	MineMaster0012	1
76	RadarHz	1
