rank	username	minecraft:dropped/minecraft:brown_shulker_box
1	thewindmillman	1050
2	Hyp3rion_	18
3	Akoot_	15
4	noam464	9
4	k1ngGilgamesh	9
4	luseis	9
4	Fuad_R	9
8	wezzzi	7
9	pintsizedrogue	6
9	joethahobo	6
11	Frozil20	5
11	groofles	5
13	Mahoose	4
13	beeperbeeper5	4
13	El_Jalapeno	4
13	jcool7	4
13	ConnorDanky_	4
13	Smoke____	4
19	TheSecondLord	3
19	fffMike	3
21	teslawolf38	2
21	ImpavidArcher	2
21	eitanzaki	2
21	Lez_	2
21	Blackberry1310	2
21	kekhon	2
21	Zythose	2
21	Skylord_Luke	2
21	HellsSponge	2
21	NameGenerat0r	2
21	Blu3beast	2
21	Spacewardharpy7	2
21	MakeHistory157	2
21	EcksD	2
35	Bandito_Roamer	1
35	AuroraValkyrie	1
35	6king6colt6	1
35	Esme_1	1
35	Huwulling	1
35	Myszoaz	1
35	Historical_Sand	1
35	Euclidoris	1
35	bloodbiter	1
35	MattieHD	1
35	500am	1
35	Ecplosive	1
35	ApophisNova	1
35	AlexxO_o	1
35	NomadicRobin_	1
35	DarlaMeow	1
35	MightyWertu	1
35	OffWithTheirHead	1
35	sadvavilloso	1
35	ThisUserIsStump	1
35	Skippeh	1
35	MyNamaSheff	1
35	Powowowow	1
35	PlasticOtari	1
35	Kateesaur	1
