rank	username	minecraft:dropped/minecraft:oak_pressure_plate
1	Cocoamallows	112
2	Tolhart	106
3	I_Am_Mushkin	68
4	noam464	40
5	Lez_	26
6	Njensen7	22
7	EveryonesUncle	14
8	Akoot_	12
8	monky_irl	12
8	Powowowow	12
11	TechnoNinja64	11
12	beeperbeeper5	9
12	CalebDHawk	9
12	nonarso	9
15	djancak	8
16	thgrocks	6
16	Fuad_R	6
16	Soap_Bender	6
16	Iamthejo	6
20	eitanzaki	5
20	12Magner05	5
20	thewindmillman	5
20	MovingFish7	5
20	Luigipunch989	5
20	jnp_gaming	5
26	Natty	4
26	Archsam	4
26	xXxSebastianLxXx	4
26	fade_emerge78823	4
26	Bumpy419	4
26	PortlyPete69	4
26	DennyKai	4
33	Groovy_MoonBird	3
33	abramgray	3
33	youhjjhhhjj	3
33	Swalt	3
33	SteveCraftBlocks	3
33	Awyrlas	3
33	Inchef	3
33	MyNameIsJobo	3
33	_Karmaa	3
33	Xclax101	3
33	Momomia1997	3
33	Ezekson	3
33	JayToe	3
46	j5ylim	2
46	Euclidoris	2
46	kekhon	2
46	set67	2
46	ROY4LE	2
46	Fast_Turtle	2
46	Azmodan_246	2
46	Ender_Souls	2
46	zToasty69z	2
46	FreakGenius	2
46	lordpipe	2
46	_Mythic____	2
46	AssFullaCum	2
46	cichy096	2
60	Claw262	1
60	ssleepless	1
60	Franco093	1
60	Mahoose	1
60	Sleepy_Time_	1
60	rarrq	1
60	titanlax	1
60	Saucepeh	1
60	Cryptacity	1
60	jacxhadow	1
60	jjsadler	1
60	_Dean_123	1
60	Uzbeki_John	1
60	toj__	1
60	Di_infiri	1
60	Jackattack53	1
60	Hyp3rion_	1
60	Zythose	1
60	burbankbuilder28	1
60	oscminus	1
60	Werbe	1
60	parodypatient	1
60	LexMakesHistory	1
60	Tyrannosplart	1
60	Manaateee	1
60	Jaka_Saurus_715	1
60	Racengan	1
60	silverpopcorn	1
60	WyngGoy	1
60	OG_Songsee	1
60	Burge_r	1
60	stavgod	1
60	voiding_	1
60	EcksD	1
60	Nicserso	1
60	FelixPSY375	1
60	OrewaSora	1
60	xolstoi	1
60	calamariclam_I	1
60	Faart	1
