rank	username	minecraft:dropped/minecraft:polished_diorite_slab
1	joethahobo	1801
2	eitanzaki	334
3	Kakolbus	329
4	PigDab	320
5	Freak_Genius	256
6	lordpipe	146
7	Comma__	130
8	Blackberry1310	77
9	seanitoo	76
10	AltnumberF4	75
11	SSytex_X	68
12	Mahoose	66
13	Nach0Bear	58
14	rarrq	53
15	kekhon	52
16	JayToe	49
17	lilsay	36
18	CalebDHawk	34
19	hm947	32
20	burbankbuilder28	27
21	SellyZ	24
22	_Virify_	14
23	Hyp3rion_	9
24	YungMaki	8
25	noam464	6
25	Nagasaki_Riku	6
25	07shiny	6
25	Enderslayerxz3	6
29	Soplight	5
30	proxivitoid	4
30	Matorz	4
32	bruh072	3
32	kinas45y5	3
34	MrExplorer	2
34	500am	2
34	Lord_Jord	2
34	Blu3beast	2
38	rats_life	1
38	Merv__	1
38	6king6colt6	1
38	Sabby65	1
38	himak1	1
38	Maenara	1
38	Akoot_	1
38	NomadicRobin_	1
38	Inbefour	1
38	avalan64	1
38	Optiprimus	1
38	jcool7	1
38	oxfordschool	1
38	Lowjinx	1
38	TechnoNinja64	1
