rank	username	minecraft:dropped/minecraft:green_concrete_powder
1	thewindmillman	1704
2	Nicserso	136
3	Crowman1	128
4	mwrty	64
4	Jackattack53	64
4	okCrypto	64
4	Snowflowe	64
4	Kukkelikuk	64
4	ConnorDanky_	64
10	PortlyPete69	54
11	Sral7	42
12	KingMatthew506	41
13	pintsizedrogue	32
13	SteveCraftBlocks	32
15	mobunni	18
16	iSammael	9
17	YungMaki	7
18	Blaiku	3
19	eitanzaki	2
20	gren_ben	1
20	Alteriity	1
20	MattieHD	1
20	AlexxO_o	1
20	Tyrannosplart	1
20	carbo_bro	1
20	AssFullaCum	1
20	Legendosh	1
20	Smoke____	1
