rank	username	minecraft:dropped/minecraft:andesite_wall
1	Mahoose	73
2	eitanzaki	70
3	Malorn_Aetherius	68
4	lcvezra	64
5	Eraxa	48
6	beeperbeeper5	47
7	noam464	33
8	Sheldor097	27
9	Shiirazu	26
10	mihimihimihi	24
11	_Karmaa	23
12	pintsizedrogue	19
13	Smoke____	17
14	joethahobo	14
14	MonitorLizards	14
14	anbbang	14
17	xolstoi	12
18	stavgod	11
19	Groovy_MoonBird	10
20	EngagedGrub41	8
21	Soplight	7
22	BigBootyHudge	6
23	Lukeee33	5
23	Comma__	5
23	FreakGenius	5
26	Inchef	4
26	RIPB0ZO	4
28	Uzbeki_John	3
28	IamCL4SSY	3
28	Racengan	3
31	Cryptacity	2
31	500am	2
31	djancak	2
31	non089	2
35	Alphanzt99	1
35	TheShyPig	1
35	luseis	1
35	Smiguli_	1
35	YungMaki	1
35	monolu	1
35	bladeefan2009	1
35	Zoeyfortnite	1
35	h2p_emrld	1
