rank	username	minecraft:dropped/minecraft:waxed_oxidized_cut_copper_stairs
1	Spaghettatron	5
2	MyMawgDonaldsGon	2
2	thewindmillman	2
4	net_flex	1
4	Secret_Canary	1
4	Buuck_	1
