rank	username	minecraft:dropped/minecraft:spruce_boat
1	Frozil12	732
2	PigDab	376
3	eitanzaki	90
4	noam464	49
5	beeperbeeper5	36
6	Blackberry1310	35
7	MyNameIsJobo	30
7	Eraxa	30
9	Mahoose	24
10	rarrq	23
10	kekhon	23
12	Hyp3rion_	21
13	TheSecondLord	20
13	Freak_Genius	20
15	TechnoNinja64	18
16	BlueZabu	16
16	fluddd	16
16	SkateboardR6	16
19	chipklip	15
19	Blaiku	15
19	EcksD	15
22	_Dean_123	14
22	EveryonesUncle	14
22	Soplight	14
22	jnp_gaming	14
26	joethahobo	13
26	lordpipe	13
28	Rasmanden	12
29	Akoot_	11
29	El_Jalapeno	11
29	Spacewardharpy7	11
32	Euclidoris	10
32	Onennon	10
32	Racengan	10
35	thescout7	9
35	Jackattack53	9
35	lillips	9
38	PhantomsGhost_	8
38	set67	8
38	YungMaki	8
38	stahouo	8
42	I_Am_Mushkin	7
42	Malorn_Aetherius	7
42	m_be9	7
42	ItzWqlfy	7
42	WyngGoy	7
42	NebulousBadger	7
42	ediballbearings	7
42	x86assembly	7
50	T045RTY	6
50	Comma__	6
50	SteveCraftBlocks	6
50	Fullut	6
50	Infernowithazero	6
50	RodSerlingCringe	6
50	_Bguette_	6
50	HellsSponge	6
50	MakeHistory157	6
50	SammiWolfGirl	6
50	Dreamdbr14	6
50	alderban107	6
50	Vellu21	6
50	Zoeyfortnite	6
64	RoskobiOne	5
64	Merv__	5
64	awesomeoneme	5
64	500am	5
64	Kkanot	5
64	egglapras	5
64	Awyrlas	5
64	Di_infiri	5
64	Werbe	5
64	NomadicRobin_	5
64	fkGrim	5
64	Quaintster	5
64	Blu3beast	5
64	pixelviolin	5
64	LeeMcGee30	5
64	Nicserso	5
64	PlasticOtari	5
64	Smoke____	5
82	KingFaenor	4
82	EMC_	4
82	aust000	4
82	Whiterooster001	4
82	Guillemet	4
82	xxPipperDipperxx	4
82	fr_ser	4
82	Chromary	4
82	Arceus1975	4
82	Zythose	4
82	Hiryu27	4
82	FishyBoy3811	4
82	ItsJWolff	4
82	IAmTheWalrus910	4
82	Razzgriz	4
82	CalebDHawk	4
82	Sheldor097	4
82	sebastiensaborio	4
82	Winston_Ingram	4
82	Skippeh	4
82	vandmanden	4
82	Sral7	4
104	Groovy_MoonBird	3
104	_Virify_	3
104	JohnnyFyes	3
104	6king6colt6	3
104	ImpavidArcher	3
104	Incinere	3
104	ratglock	3
104	Kamflame10	3
104	ROY4LE	3
104	John6970	3
104	mimbo1211	3
104	M_Patata	3
104	TableTim	3
104	Winklepicker279	3
104	andy_rex	3
104	Afinnity	3
104	ooga47	3
104	Sky_light_KING	3
104	fw3xywashere	3
104	DarlaMeow	3
104	__Auspicious	3
104	xsewn	3
104	MasterNueve	3
104	Cocoamallows	3
104	Juh1s	3
104	Spenduh	3
104	lcvezra	3
104	Chuglyfe	3
104	Ezekson	3
104	HesDemonPants	3
104	YoshikageBites	3
104	EcksDofficial	3
136	Mitchasnipe	2
136	pintsizedrogue	2
136	_NieToksikpl_	2
136	q_wq	2
136	AshleeCW	2
136	KarlKaek	2
136	Wolf_Mauler_73	2
136	ergoalias	2
136	hm947	2
136	Sabby65	2
136	Hpdinosaur	2
136	Simon_Lowell	2
136	peach0s	2
136	Shazzyling	2
136	Vizzoid	2
136	Stynxy	2
136	CliffEmAll	2
136	jacxhadow	2
136	Rich_Kat	2
136	MrExplorer	2
136	MinttyFressh	2
136	ProfessorBee	2
136	dream_mist	2
136	SomeWanderer	2
136	Uzbeki_John	2
136	gcaisawesome	2
136	r123moore	2
136	ayqq	2
136	eiC_	2
136	XboxPanda	2
136	DermeinUser	2
136	0nly_sn1per	2
136	PeteO1995	2
136	FetteMutter	2
136	__Fanda__	2
136	Rumpletaezer	2
136	thewindmillman	2
136	GoigeFZ	2
136	pappaberg	2
136	WhosJPG	2
136	wilgot_	2
136	gloryoftherain	2
136	Jonte0599	2
136	TTNG	2
136	DC_XII	2
136	_naturell	2
136	PuFY	2
136	lizardfightclub	2
136	Leyna3	2
136	Lord_Jord	2
136	Roikdean	2
136	yulgur1	2
136	Inbefour	2
136	Deodorante	2
136	MyNameIsDakar	2
136	claivin	2
136	TiborSterle	2
136	Travka100	2
136	Groundler	2
136	AvaRosey	2
136	Xovalt_	2
136	kyouma777	2
136	AssFullaCum	2
136	Kijiki	2
136	__tomato	2
136	PortlyPete69	2
136	Slapface522	2
136	Snow_Blizzard	2
136	Hylo482y	2
136	Physics_Breaker	2
136	oxfordschool	2
136	BreadBacon	2
136	FGamerJ	2
136	Legendosh	2
136	Powowowow	2
136	kinas45y5	2
136	WYFYoyo	2
213	MunkaKris	1
213	Krasnal1337	1
213	Louiis123	1
213	Jovaphobic	1
213	Thaumatarge	1
213	Diamondpanda4	1
213	Mr_Byzantine	1
213	Cowison	1
213	BenHomie	1
213	hollowww	1
213	SlavBylat	1
213	bigstankyy	1
213	error10101	1
213	BlancoFlaco	1
213	Frozt99	1
213	Zippyzam	1
213	Wooptey	1
213	RebelAndroid	1
213	livingdaydreams	1
213	_R_y__a_n_	1
213	ewsophie	1
213	Jahara	1
213	Os_qq	1
213	sejekasper1	1
213	MOSS000	1
213	MSK__	1
213	H72l9w	1
213	Historical_Sand	1
213	Swexti	1
213	Atroxes	1
213	MC_swagalicious	1
213	Ozixar	1
213	cowgirlkasia	1
213	4383	1
213	jushykins	1
213	BobDeBouwer1337	1
213	jiggywraps	1
213	bloodbiter	1
213	Vadanite	1
213	12Magner05	1
213	XRAYDELTATANGO	1
213	CarbonatedCola	1
213	boog4loo	1
213	Master_Kol	1
213	sandmire	1
213	Cambo5000	1
213	Masssonnn	1
213	Nach0Bear	1
213	mwrty	1
213	ketaminmann	1
213	surfinggiraffejp	1
213	eviltunix	1
213	Xalithia	1
213	SellyZ	1
213	__TheNorseMan__	1
213	Diavri	1
213	encraft05	1
213	SpicyMeatballs	1
213	benediktine1	1
213	purpolepickle	1
213	UncleDanDan	1
213	jandrs	1
213	mads388a	1
213	Kakolbus	1
213	ImDisconnected_	1
213	Marbz_	1
213	loveseeker	1
213	gabriels543	1
213	popcanter	1
213	WET_WET_WET	1
213	Snowflowe	1
213	burbankbuilder28	1
213	wTXop	1
213	impossibleteapot	1
213	Nyxiom_	1
213	linenicolaisen	1
213	cwartzo	1
213	MangoTheFish	1
213	Parcc	1
213	Hoid_the_Roamer	1
213	Billious	1
213	MustardDrinker	1
213	HAIRYCLOUD626	1
213	Corbsman	1
213	SonicRainBow_	1
213	ApophisNova	1
213	RobotMinion101	1
213	fred870d	1
